dates,satname,sar1742-0000,sar1742-0001,sar1742-0002,sar1742-0003,sar1742-0004,sar1742-0005,sar1742-0006,sar1742-0007
1984-04-13 09:27:07+00:00,L5,159.93,177.08,211.78,198.85,,,-42.29,-48.17
1984-05-06 09:33:03+00:00,L5,161.84,175.43,220.19,201.67,171.01,147.82,183.96,194.97
1984-07-18 09:28:46+00:00,L5,170.02,184.98,230.23,211.16,188.56,160.60,187.63,192.91
1984-08-03 09:29:20+00:00,L5,167.36,180.81,225.55,202.63,180.39,153.15,183.06,190.30
1984-08-19 09:29:51+00:00,L5,169.35,174.65,216.54,201.22,174.39,150.90,181.82,196.35
1984-09-11 09:35:50+00:00,L5,164.15,167.75,220.28,198.75,176.34,151.75,185.13,194.85
1984-10-22 09:30:00+00:00,L5,170.24,181.51,225.64,203.18,173.66,161.00,181.98,196.98
1984-11-07 09:29:53+00:00,L5,165.25,173.94,221.48,201.12,,153.74,180.18,191.35
1984-12-09 09:29:58+00:00,L5,171.00,179.07,218.15,206.15,177.39,154.35,178.89,195.45
1985-01-17 09:36:05+00:00,L5,159.29,167.48,221.33,196.25,171.95,148.08,176.70,184.72
1985-02-02 09:36:09+00:00,L5,156.74,168.88,211.71,197.27,174.29,146.52,180.36,188.65
1985-03-31 09:30:19+00:00,L5,159.63,165.55,212.17,194.21,168.07,147.96,180.15,188.38
1985-05-02 09:30:07+00:00,L5,162.18,179.23,215.45,196.10,174.22,160.80,180.42,197.47
1985-06-03 09:30:04+00:00,L5,162.38,168.61,231.70,204.41,,151.72,179.59,178.42
1985-06-26 09:35:47+00:00,L5,150.49,163.32,212.07,190.96,170.51,146.07,173.43,180.42
1985-07-05 09:29:57+00:00,L5,158.99,167.99,224.86,197.95,,155.98,177.15,186.91
1985-07-12 09:35:41+00:00,L5,154.49,166.78,210.93,193.41,171.95,143.23,162.42,173.33
1985-08-13 09:35:25+00:00,L5,148.50,160.93,209.71,189.92,,150.03,170.65,183.18
1985-08-22 09:29:32+00:00,L5,166.55,183.77,225.71,193.09,171.30,150.61,185.71,195.32
1985-10-09 09:28:59+00:00,L5,145.99,153.61,206.31,188.08,160.24,151.03,187.82,178.84
1985-11-10 09:28:33+00:00,L5,165.81,174.25,220.14,202.93,177.68,155.08,183.24,192.54
1985-12-03 09:33:55+00:00,L5,166.32,183.11,220.59,199.74,176.91,164.51,182.58,192.85
1986-01-04 09:33:20+00:00,L5,163.79,178.43,218.34,195.80,,158.18,176.12,189.24
1986-01-13 09:27:22+00:00,L5,164.77,181.19,231.14,204.34,174.41,152.88,172.44,184.60
1986-02-21 09:32:17+00:00,L5,138.61,160.13,207.18,,,,,-45.74
1986-03-25 09:31:37+00:00,L5,153.84,165.21,206.40,195.11,172.84,159.06,185.84,196.44
1986-04-10 09:31:17+00:00,L5,147.94,163.02,202.00,188.29,155.51,147.37,167.16,175.71
1986-05-12 09:30:29+00:00,L5,158.27,168.26,212.18,196.93,170.63,152.19,178.15,189.65
1986-05-28 09:30:02+00:00,L5,159.90,164.14,213.55,196.38,170.17,146.61,181.76,192.24
1986-06-06 09:23:59+00:00,L5,151.83,162.44,210.09,185.99,,141.08,177.27,197.75
1986-07-08 09:22:57+00:00,L5,163.20,174.40,227.69,203.26,182.13,158.66,185.85,190.22
1986-07-24 09:22:23+00:00,L5,157.30,177.72,222.84,200.93,171.91,148.91,169.57,178.23
1986-07-31 09:27:55+00:00,L5,156.03,166.40,210.79,187.90,162.10,150.22,173.50,189.30
1986-08-16 09:27:20+00:00,L5,159.08,171.96,215.33,194.42,172.96,152.76,178.98,191.91
1986-09-10 09:20:39+00:00,L5,162.80,174.92,213.25,193.49,171.93,148.14,182.01,190.51
1986-09-17 09:26:13+00:00,L5,163.38,168.23,223.31,200.29,177.02,150.05,183.28,188.95
1986-12-31 09:19:14+00:00,L5,166.33,174.71,217.54,205.58,177.73,150.44,181.24,184.75
1987-01-07 09:25:13+00:00,L5,162.00,176.08,217.35,190.21,167.96,147.84,183.97,187.27
1987-01-16 09:19:41+00:00,L5,158.42,174.55,216.86,193.33,170.83,152.81,185.24,191.12
1987-02-01 09:19:48+00:00,L5,,,,,,,,
1987-02-17 09:20:35+00:00,L5,168.65,176.65,222.57,199.08,171.65,146.76,176.85,179.76
1987-03-21 09:22:02+00:00,L5,167.68,179.69,226.58,203.72,186.16,159.86,187.63,194.96
1987-04-06 09:22:36+00:00,L5,163.15,173.81,222.00,200.69,,160.57,181.46,190.56
1987-04-29 09:29:06+00:00,L5,161.45,174.19,215.35,198.26,180.34,154.17,182.30,193.93
1987-05-08 09:23:35+00:00,L5,157.57,167.51,221.23,193.28,172.84,153.31,186.83,195.16
1987-05-15 09:29:33+00:00,L5,149.76,160.26,212.87,-41.26,168.37,148.82,176.03,182.53
1987-06-09 09:24:23+00:00,L5,159.80,167.42,226.54,197.52,175.63,154.52,182.33,189.34
1987-06-16 09:30:19+00:00,L5,147.92,160.81,209.98,188.20,161.57,141.86,173.25,182.55
1987-06-25 09:24:44+00:00,L5,165.15,180.91,226.03,197.72,174.94,150.10,181.38,188.68
1987-07-02 09:30:39+00:00,L5,153.22,166.12,211.69,191.79,172.68,147.10,182.49,189.19
1987-07-11 09:25:03+00:00,L5,160.84,177.46,220.72,195.78,175.78,156.10,183.45,192.13
1987-07-18 09:30:57+00:00,L5,145.71,162.04,209.80,183.75,,137.95,175.03,180.67
1987-07-27 09:25:25+00:00,L5,163.46,184.44,225.34,204.51,179.96,162.57,180.05,189.54
1987-08-03 09:31:25+00:00,L5,152.54,164.88,214.87,191.41,174.58,160.48,180.08,197.74
1987-08-12 09:25:55+00:00,L5,161.44,176.98,222.41,196.44,,155.65,178.73,185.43
1987-08-19 09:31:54+00:00,L5,157.01,166.78,214.06,194.81,175.58,151.99,185.90,187.63
1987-08-28 09:26:22+00:00,L5,160.80,169.96,221.20,194.74,172.91,154.19,181.91,185.78
1987-09-13 09:26:45+00:00,L5,167.40,177.19,225.57,199.90,176.43,153.85,176.27,190.17
1987-09-20 09:32:42+00:00,L5,160.08,175.48,217.33,197.93,173.41,157.30,177.04,190.35
1987-10-06 09:33:02+00:00,L5,129.33,159.67,213.27,183.92,,145.00,164.36,179.61
1987-10-15 09:27:01+00:00,L5,,,,,,,,
1987-10-22 09:33:17+00:00,L5,152.76,173.42,210.25,191.89,157.42,142.32,162.97,175.94
1987-10-31 09:27:40+00:00,L5,166.30,181.58,231.20,203.95,184.24,157.68,184.08,188.36
1987-11-16 09:28:03+00:00,L5,163.94,178.27,217.16,195.41,176.33,161.41,182.98,203.48
1987-12-02 09:28:18+00:00,L5,163.21,182.76,227.11,212.15,175.40,159.51,175.67,184.92
1988-01-10 09:35:05+00:00,L5,162.47,179.80,218.80,195.74,169.66,152.19,175.98,191.55
1988-02-11 09:35:17+00:00,L5,157.16,166.75,225.72,199.10,168.36,146.27,179.58,186.72
1988-02-20 09:29:14+00:00,L5,,,,,,,,
1988-03-14 09:35:39+00:00,L5,158.38,170.47,232.84,204.27,,151.35,175.89,186.90
1988-05-17 09:36:08+00:00,L5,143.06,154.02,198.98,175.92,166.21,150.05,193.12,195.49
1988-05-26 09:30:00+00:00,L5,,,,,,,,
1988-06-02 09:36:14+00:00,L5,153.16,165.12,211.49,188.02,160.87,142.73,176.84,185.50
1988-06-11 09:30:29+00:00,L5,164.39,174.36,217.75,203.72,174.46,153.13,177.20,186.59
1988-06-18 09:36:19+00:00,L5,146.14,164.03,213.88,193.83,,140.43,173.61,180.00
1988-07-04 09:36:24+00:00,L5,150.75,158.88,209.64,193.58,170.58,144.85,163.98,182.79
1988-07-13 09:30:39+00:00,L5,162.47,174.87,224.83,196.06,170.04,153.30,179.48,191.63
1988-07-29 09:30:18+00:00,L5,150.49,163.84,206.15,191.59,171.47,146.79,178.49,186.44
1988-08-05 09:36:28+00:00,L5,157.59,165.33,216.60,192.64,173.72,153.19,179.87,191.58
1988-08-14 09:30:40+00:00,L5,162.01,179.53,219.82,200.81,178.17,155.24,175.86,185.74
1988-08-21 09:36:29+00:00,L5,150.45,163.48,213.37,192.27,,147.84,171.24,183.40
1988-08-30 09:30:21+00:00,L5,157.56,166.28,221.88,197.00,,149.18,170.15,185.59
1988-09-06 09:36:31+00:00,L5,145.58,163.56,213.90,185.61,170.51,152.90,179.17,197.27
1988-10-08 09:36:21+00:00,L5,162.69,173.29,214.83,189.75,176.93,157.21,184.44,191.48
1988-11-02 09:30:34+00:00,L5,155.16,167.70,210.81,193.07,172.49,149.51,189.23,192.45
1988-12-04 09:30:29+00:00,L5,,14.34,,,,,,
1988-12-11 09:36:09+00:00,L5,167.05,175.50,217.68,191.90,172.72,151.04,181.32,196.02
1988-12-27 09:36:03+00:00,L5,162.04,174.56,212.59,200.47,179.10,160.57,178.23,188.55
1989-01-05 09:30:16+00:00,L5,151.81,168.35,224.79,205.74,,163.81,179.35,195.28
1989-01-12 09:35:56+00:00,L5,162.26,181.85,217.74,202.97,,156.77,176.13,177.47
1989-01-28 09:35:43+00:00,L5,160.00,171.34,218.01,198.65,168.88,148.92,176.97,188.43
1989-02-06 09:29:59+00:00,L5,154.13,166.88,209.57,190.46,165.40,149.18,177.11,190.37
