dates,sar2117-0000,sar2117-0001,sar2117-0002,satname
1990-01-31 09:28:06+00:00,295.94,206.69,311.73,L5
1990-10-30 09:25:35+00:00,280.75,215.73,286.80,L5
1992-01-21 09:30:24+00:00,,220.31,,L5
1993-01-07 09:27:40+00:00,289.26,240.83,,L5
1993-02-08 09:28:02+00:00,,276.31,,L5
1993-11-23 09:28:03+00:00,,291.11,322.87,L5
1996-07-01 09:25:59+00:00,,,338.86,L5
1998-03-10 09:42:39+00:00,,272.97,229.36,L5
1998-03-26 09:42:52+00:00,294.96,,240.13,L5
1998-11-21 09:45:10+00:00,287.20,,257.55,L5
1999-08-12 09:59:01+00:00,218.17,,215.82,L7
1999-08-28 09:59:04+00:00,217.17,,215.31,L7
1999-09-05 09:43:10+00:00,232.31,291.15,221.26,L5
1999-09-13 09:58:59+00:00,223.41,204.51,215.56,L7
1999-09-29 09:59:09+00:00,217.96,204.59,213.37,L7
1999-10-31 09:59:01+00:00,208.86,206.47,214.20,L7
1999-11-16 09:59:01+00:00,209.78,202.97,216.13,L7
1999-12-02 09:58:56+00:00,,231.00,232.16,L7
1999-12-18 09:59:04+00:00,233.26,208.85,225.58,L7
2000-01-03 09:58:57+00:00,,221.54,230.06,L7
2000-01-19 09:58:54+00:00,213.88,204.85,215.21,L7
2000-02-04 09:58:54+00:00,222.01,204.98,229.66,L7
2000-02-20 09:58:47+00:00,206.34,200.46,205.27,L7
2000-03-07 09:58:42+00:00,220.14,206.45,220.58,L7
2000-04-24 09:58:27+00:00,221.99,200.50,216.96,L7
2000-06-27 09:57:49+00:00,219.29,205.67,233.68,L7
2000-07-29 09:57:19+00:00,213.71,200.96,215.35,L7
2000-08-14 09:57:13+00:00,217.48,217.66,217.26,L7
2000-08-30 09:57:02+00:00,204.77,202.14,212.11,L7
2000-09-15 09:56:43+00:00,222.58,207.23,216.74,L7
2000-12-20 09:56:33+00:00,205.29,206.54,223.55,L7
2001-01-05 09:56:33+00:00,215.98,204.08,214.23,L7
2001-05-13 09:56:03+00:00,209.89,206.53,215.02,L7
2001-05-29 09:55:55+00:00,222.42,213.42,238.08,L7
2001-06-14 09:55:43+00:00,217.71,209.00,217.84,L7
2001-06-30 09:55:29+00:00,216.21,208.87,230.77,L7
2001-08-01 09:55:16+00:00,223.28,207.54,225.27,L7
2001-08-17 09:54:57+00:00,207.14,201.37,211.22,L7
2001-09-02 09:54:47+00:00,207.63,205.12,215.23,L7
2001-09-18 09:54:35+00:00,217.68,203.53,217.78,L7
2001-10-04 09:54:23+00:00,211.40,199.01,217.48,L7
2001-11-05 09:54:31+00:00,199.95,201.78,207.02,L7
2001-12-07 09:54:41+00:00,213.09,206.78,217.87,L7
2002-01-08 09:54:52+00:00,233.59,226.51,237.96,L7
2002-03-13 09:55:01+00:00,210.89,203.94,217.06,L7
2002-04-30 09:54:58+00:00,214.02,209.15,216.77,L7
2002-06-01 09:54:45+00:00,213.23,207.47,220.36,L7
2002-06-17 09:54:38+00:00,224.18,216.90,218.78,L7
2002-07-03 09:54:34+00:00,227.14,207.99,215.80,L7
2002-07-19 09:54:27+00:00,218.70,206.52,217.48,L7
2002-08-04 09:54:19+00:00,208.26,202.94,211.29,L7
2002-08-20 09:54:16+00:00,221.95,209.00,217.05,L7
2002-09-05 09:54:07+00:00,216.90,207.09,213.88,L7
2002-09-21 09:53:54+00:00,202.08,203.78,212.12,L7
2002-10-07 09:53:50+00:00,220.00,201.98,220.06,L7
2002-10-23 09:53:55+00:00,223.08,198.89,210.60,L7
2003-01-27 09:54:37+00:00,218.14,206.12,214.04,L7
2003-02-12 09:54:48+00:00,222.23,220.30,229.76,L7
2003-03-16 09:54:51+00:00,213.57,207.20,219.27,L7
2003-04-01 09:54:51+00:00,221.47,203.60,228.69,L7
2003-04-17 09:54:53+00:00,213.36,208.88,216.87,L7
2003-05-03 09:54:54+00:00,216.03,203.48,208.94,L7
2003-05-19 09:54:48+00:00,213.08,207.26,234.96,L7
2003-10-10 09:54:11+00:00,215.46,208.24,212.96,L7
2003-12-13 09:54:54+00:00,,203.28,202.52,L7
2004-06-06 09:55:14+00:00,208.48,200.63,216.24,L7
2004-07-24 09:55:03+00:00,212.89,204.35,215.92,L7
2005-03-21 09:55:50+00:00,226.51,224.75,233.14,L7
2005-04-06 09:55:46+00:00,219.60,211.91,233.69,L7
2005-04-22 09:55:40+00:00,217.35,206.17,217.38,L7
2005-10-31 09:55:28+00:00,211.65,204.20,216.14,L7
2005-11-24 09:54:46+00:00,,230.94,,L5
2005-12-18 09:55:45+00:00,214.34,204.41,216.52,L7
2006-01-03 09:55:54+00:00,212.33,194.60,225.22,L7
2006-01-19 09:56:03+00:00,207.94,204.07,215.69,L7
2006-06-12 09:56:09+00:00,224.17,213.47,225.68,L7
2006-07-14 09:55:56+00:00,216.24,204.77,220.28,L7
2006-07-30 09:55:49+00:00,221.57,208.22,216.02,L7
2006-11-03 09:55:55+00:00,214.73,206.97,219.35,L7
2006-12-13 10:00:47+00:00,,246.02,,L5
2006-12-29 10:00:54+00:00,,218.85,244.59,L5
2007-01-06 09:56:21+00:00,206.90,201.43,211.19,L7
2007-05-30 09:56:23+00:00,203.46,192.12,210.54,L7
2007-07-01 09:56:22+00:00,234.20,203.66,230.93,L7
2007-07-17 09:56:19+00:00,222.34,203.89,214.53,L7
2007-08-02 09:56:15+00:00,217.59,205.91,208.48,L7
2007-12-24 09:56:28+00:00,209.48,204.00,220.39,L7
2008-01-25 09:56:28+00:00,202.54,205.86,211.30,L7
2008-02-10 09:56:26+00:00,213.96,220.73,237.00,L7
2008-02-26 09:56:21+00:00,214.23,208.95,225.82,L7
2008-05-08 09:54:49+00:00,215.07,,,L5
2008-07-19 09:55:28+00:00,221.51,,212.85,L7
