dates,sar2319-0000,satname
1984-09-20 09:30:04+00:00,177.36,L5
1985-08-06 09:29:18+00:00,190.66,L5
1985-08-22 09:29:32+00:00,184.115,L5
1985-12-03 09:33:55+00:00,177.76999999999998,L5
1986-04-19 09:24:53+00:00,179.56,L5
1986-05-12 09:30:29+00:00,178.84666666666666,L5
1986-09-17 09:26:13+00:00,180.59333333333333,L5
1987-03-21 09:22:02+00:00,177.36,L5
1987-05-08 09:23:35+00:00,186.22500000000002,L5
1987-11-16 09:28:03+00:00,178.53,L5
1988-05-17 09:36:08+00:00,192.32,L5
1989-03-26 09:28:53+00:00,177.62,L5
1989-05-13 09:28:07+00:00,192.94,L5
1989-10-27 09:30:27+00:00,193.13,L5
1990-09-28 09:25:26+00:00,178.17,L5
1991-04-08 09:27:30+00:00,176.95,L5
1993-03-21 09:22:07+00:00,168.51,L5
1994-05-11 09:19:31+00:00,191.9,L5
1995-05-05 09:13:47+00:00,192.62,L5
1995-06-15 09:06:08+00:00,185.16,L5
1996-01-16 09:09:06+00:00,175.52,L5
1996-03-13 09:07:12+00:00,185.32999999999998,L5
1996-06-08 09:18:10+00:00,187.63666666666666,L5
1996-07-19 09:14:34+00:00,193.06333333333336,L5
1996-08-04 09:15:24+00:00,193.02,L5
1997-05-03 09:27:30+00:00,192.96,L5
1997-10-26 09:33:30+00:00,192.49,L5
1998-01-30 09:35:46+00:00,192.03,L5
1998-03-19 09:36:37+00:00,192.13,L5
1999-09-13 09:58:35+00:00,184.21,L7
1999-09-22 09:52:53+00:00,184.10500000000002,L7
1999-11-16 09:58:37+00:00,184.1966666666667,L7
1999-12-02 09:58:32+00:00,184.3425,L7
1999-12-11 09:52:29+00:00,178.01600000000002,L7
1999-12-18 09:58:40+00:00,180.65,L7
2000-01-27 09:40:13+00:00,182.3657142857143,L5
2000-03-07 09:58:18+00:00,182.71125,L7
2000-03-16 09:52:08+00:00,178.7775,L7
2000-05-03 09:51:48+00:00,178.76875,L7
2000-07-22 09:50:52+00:00,179.81400000000002,L7
2000-08-07 09:51:02+00:00,171.77800000000002,L7
2000-09-15 09:56:19+00:00,176.7575,L7
2001-02-06 09:56:08+00:00,190.2,L7
2001-03-19 09:49:46+00:00,173.865,L7
2001-04-04 09:50:00+00:00,180.35333333333332,L7
2001-06-07 09:49:35+00:00,181.45,L7
2001-08-26 09:48:43+00:00,179.0975,L7
2001-09-11 09:48:07+00:00,173.85999999999999,L7
2001-09-18 09:54:11+00:00,173.796,L7
2001-09-19 09:39:37+00:00,177.01333333333332,L5
2001-10-13 09:48:08+00:00,176.85833333333335,L7
2001-10-29 09:48:14+00:00,177.92714285714285,L7
2001-11-05 09:54:07+00:00,174.76625,L7
2001-11-14 09:48:02+00:00,172.43555555555557,L7
2001-12-07 09:54:17+00:00,172.47444444444443,L7
2002-01-08 09:54:28+00:00,173.36100000000002,L7
2002-01-17 09:48:21+00:00,171.4790909090909,L7
2002-01-25 09:38:30+00:00,173.19333333333336,L5
2002-02-02 09:48:23+00:00,174.25153846153847,L7
