dates,satname,sar2320-0000,sar2320-0001,sar2320-0002
1984-04-13 09:26:43+00:00,L5,106.24,197.50,139.88
1984-05-06 09:33:03+00:00,L5,109.96,198.39,110.97
1984-05-31 09:27:59+00:00,L5,,,
1984-07-18 09:28:46+00:00,L5,,197.95,135.53
1984-08-03 09:29:20+00:00,L5,254.12,206.91,209.65
1984-08-19 09:29:51+00:00,L5,106.62,199.37,135.15
1984-08-26 09:35:45+00:00,L5,,,
1984-09-04 09:29:37+00:00,L5,,,
1984-09-11 09:35:50+00:00,L5,,198.40,135.66
1984-09-20 09:30:04+00:00,L5,111.68,198.93,108.83
1984-10-22 09:30:00+00:00,L5,266.48,206.88,216.01
1984-11-07 09:29:53+00:00,L5,120.87,189.18,157.13
1984-12-09 09:29:34+00:00,L5,258.45,190.27,233.39
1985-01-17 09:36:05+00:00,L5,268.04,204.77,209.34
1985-02-02 09:36:09+00:00,L5,,200.06,139.26
1985-04-23 09:35:59+00:00,L5,,204.86,105.28
1985-05-02 09:30:07+00:00,L5,127.00,211.91,200.11
1985-05-18 09:29:40+00:00,L5,,,
1985-06-03 09:29:40+00:00,L5,,211.32,97.41
1985-06-26 09:35:47+00:00,L5,,,
1985-07-05 09:29:33+00:00,L5,89.24,198.57,137.00
1985-07-12 09:35:41+00:00,L5,,,
1985-08-13 09:35:25+00:00,L5,,,
1985-08-22 09:29:32+00:00,L5,106.01,195.67,147.88
1985-10-09 09:28:35+00:00,L5,,201.82,102.99
1985-11-10 09:28:33+00:00,L5,106.66,195.20,147.65
1985-12-03 09:33:55+00:00,L5,258.79,206.04,221.36
1986-01-04 09:33:20+00:00,L5,154.08,206.02,210.18
1986-01-13 09:27:22+00:00,L5,255.15,211.59,205.01
1986-03-25 09:31:37+00:00,L5,89.11,204.18,103.99
1986-04-10 09:31:17+00:00,L5,,,
1986-05-12 09:30:29+00:00,L5,113.01,207.68,136.72
1986-05-21 09:24:27+00:00,L5,,199.39,108.70
1986-06-22 09:23:04+00:00,L5,,209.28,106.86
1986-07-08 09:22:57+00:00,L5,,208.09,97.91
1986-07-24 09:22:23+00:00,L5,,214.80,96.83
1986-07-31 09:27:55+00:00,L5,,,
1986-08-16 09:27:20+00:00,L5,105.08,196.19,148.13
1986-09-17 09:26:13+00:00,L5,,205.46,103.49
1986-10-12 09:19:14+00:00,L5,149.73,205.97,210.78
1986-12-31 09:18:50+00:00,L5,,197.96,148.08
1987-01-07 09:25:13+00:00,L5,,,
1987-01-16 09:19:18+00:00,L5,257.30,208.19,215.21
1987-03-21 09:21:38+00:00,L5,106.83,197.94,138.15
1987-04-06 09:22:12+00:00,L5,92.04,198.66,136.67
1987-04-29 09:29:06+00:00,L5,,,
1987-05-08 09:23:11+00:00,L5,106.53,197.76,140.01
1987-05-15 09:29:33+00:00,L5,,,
1987-06-09 09:24:23+00:00,L5,,207.53,102.06
1987-06-16 09:30:19+00:00,L5,,,
1987-06-25 09:24:20+00:00,L5,105.76,198.18,135.11
1987-07-11 09:24:39+00:00,L5,89.94,208.54,104.38
1987-07-18 09:30:57+00:00,L5,,,
1987-07-27 09:25:01+00:00,L5,,203.34,105.04
1987-08-03 09:31:25+00:00,L5,,200.39,102.19
1987-08-19 09:31:54+00:00,L5,,,
1987-08-28 09:25:57+00:00,L5,89.64,199.42,134.39
1987-09-04 09:32:19+00:00,L5,,201.02,140.67
1987-09-13 09:26:45+00:00,L5,85.85,205.10,108.25
1987-09-20 09:32:42+00:00,L5,,196.80,142.15
1987-10-06 09:33:02+00:00,L5,,,
1987-10-31 09:27:40+00:00,L5,256.54,208.16,213.82
1987-11-07 09:33:38+00:00,L5,106.75,197.60,140.21
1987-11-16 09:28:03+00:00,L5,108.76,195.57,147.83
1987-12-02 09:28:18+00:00,L5,257.51,221.94,216.50
1988-01-10 09:34:42+00:00,L5,119.98,182.47,162.59
1988-01-19 09:28:41+00:00,L5,,,
1988-03-14 09:35:39+00:00,L5,,,
1988-05-01 09:35:57+00:00,L5,,207.09,104.41
1988-05-17 09:36:08+00:00,L5,81.17,205.58,105.72
1988-06-02 09:36:14+00:00,L5,,204.54,105.33
1988-06-11 09:30:29+00:00,L5,,201.23,100.21
1988-06-18 09:36:19+00:00,L5,,,
1988-07-04 09:36:24+00:00,L5,,,
1988-07-13 09:30:39+00:00,L5,,200.69,100.29
1988-07-20 09:36:27+00:00,L5,97.23,193.00,149.61
1988-07-29 09:30:42+00:00,L5,,203.80,104.82
1988-08-05 09:36:28+00:00,L5,,202.50,97.57
1988-08-14 09:30:40+00:00,L5,,199.19,137.53
1988-08-21 09:36:29+00:00,L5,,,
1988-08-30 09:30:45+00:00,L5,,,
1988-09-06 09:36:31+00:00,L5,,200.93,107.52
1988-09-22 09:36:26+00:00,L5,120.00,182.88,162.44
1988-10-01 09:30:34+00:00,L5,,,
1988-10-08 09:36:21+00:00,L5,,,
1988-12-11 09:36:09+00:00,L5,107.51,196.04,148.06
