dates,sar2332-0000,sar2332-0001,sar2332-0002,sar2332-0003,satname
1984-09-11 09:35:50+00:00,,238.12,,,L5
1984-09-20 09:29:40+00:00,,226.35500000000002,,,L5
1986-12-22 09:24:45+00:00,281.72,,266.09,,L5
1987-06-16 09:30:19+00:00,277.68,,261.28499999999997,307.36,L5
1988-10-08 09:36:21+00:00,,,283.44,296.45,L5
1989-01-12 09:35:56+00:00,,206.66,283.44,269.825,L5
1989-02-22 09:29:28+00:00,,206.66,276.40999999999997,258.40000000000003,L5
1989-05-29 09:28:17+00:00,243.73,206.66,269.38,245.39000000000001,L5
1989-09-02 09:25:53+00:00,252.64,,,257.42,L5
1989-10-27 09:30:27+00:00,249.7166666666667,210.37,,247.53500000000003,L5
1989-11-12 09:30:07+00:00,246.7475,210.04500000000002,233.08,245.58,L5
1989-12-23 09:22:46+00:00,244.455,210.04500000000002,233.08,250.12666666666667,L5
1990-05-07 09:25:55+00:00,253.07000000000002,207.325,233.08,256.365,L5
1992-03-18 09:24:09+00:00,291.77,,,243.5,L5
1992-09-01 09:28:02+00:00,286.355,,,243.5,L5
1992-11-13 09:21:00+00:00,265.235,,231.62,,L5
1993-01-07 09:27:16+00:00,250.25,,234.59,234.8,L5
1993-04-13 09:28:04+00:00,243.78666666666666,,234.59,225.72,L5
1993-10-06 09:27:59+00:00,245.435,201.76,232.29,236.265,L5
1994-01-26 09:26:59+00:00,232.34,225.97,232.29,231.07,L5
1994-05-27 09:19:15+00:00,237.67000000000002,249.25,,218.755,L5
1994-06-19 09:24:34+00:00,234.9466666666667,249.25,,228.1933333333333,L5
1995-02-14 09:17:07+00:00,233.34,208.55,226.49,215.48,L5
1995-10-21 09:00:00+00:00,234.35,203.31,231.59,243.59,L5
1996-06-24 09:19:02+00:00,266.75,,240.24,268.62,L5
1997-02-19 09:30:58+00:00,291.05,239.97,276.55,,L5
1997-03-23 09:32:13+00:00,267.91,223.995,253.34,242.57,L5
1997-05-10 09:33:55+00:00,257.90000000000003,218.78333333333333,246.3066666666667,248.02499999999998,L5
1997-07-13 09:36:09+00:00,252.5375,215.3475,243.94,247.80999999999997,L5
1998-01-21 09:41:20+00:00,282.18,,,,L5
1998-02-06 09:41:42+00:00,264.17,198.55,233.3,256.34,L5
1998-10-20 09:44:34+00:00,216.77,213.29,244.86,,L5
1999-01-24 09:44:47+00:00,229.45,209.37,235.635,243.73,L5
1999-03-13 09:44:46+00:00,235.82666666666668,206.79333333333332,233.99666666666667,245.01,L5
1999-03-29 09:44:28+00:00,230.8875,215.88,230.02,228.03666666666666,L5
1999-07-19 09:43:28+00:00,235.72500000000002,218.51749999999998,227.2225,229.51749999999998,L5
1999-08-12 09:58:37+00:00,226.78750000000002,218.0625,220.61,224.77999999999997,L7
1999-08-28 09:58:41+00:00,227.4,214.02399999999997,219.43800000000002,231.6975,L7
1999-09-13 09:58:35+00:00,224.564,214.192,216.156,231.7375,L7
1999-09-29 09:58:45+00:00,223.454,203.738,210.542,244.28666666666666,L7
1999-10-31 09:58:37+00:00,224.16666666666666,203.04166666666666,212.36666666666667,240.4425,L7
1999-11-16 09:58:37+00:00,226.17714285714285,203.06857142857143,213.40285714285713,239.81799999999998,L7
1999-12-18 09:58:40+00:00,227.345,203.2125,215.5425,239.64,L7
2000-01-03 09:58:33+00:00,228.59444444444443,203.20999999999998,217.14444444444445,240.77428571428572,L7
2000-02-20 09:58:23+00:00,227.46125,196.98624999999998,213.75375000000003,241.91,L7
2000-03-07 09:58:18+00:00,227.62125,197.735,214.5225,241.60333333333335,L7
2000-03-23 09:58:20+00:00,227.16750000000002,197.24625,214.11124999999998,239.40333333333334,L7
2000-06-27 09:57:25+00:00,224.512,194.922,212.25799999999998,235.10500000000002,L7
2000-07-13 09:57:13+00:00,220.9925,203.60999999999999,207.83249999999998,245.35,L7
2000-08-06 09:43:05+00:00,220.9925,204.45833333333334,207.83249999999998,251.442,L5
2000-08-14 09:56:49+00:00,223.51800000000003,203.56428571428572,209.56199999999998,250.93666666666664,L7
2000-08-30 09:56:38+00:00,229.038,207.02285714285713,213.78400000000002,248.69571428571427,L7
