,dates,chi0023-0000,chi0023-0001,chi0023-0002,chi0023-0003,chi0023-0004
0,1985-03-28 14:12:49+00:00,186.63876043090525,181.1756980605031,185.0001894822139,186.26987806255642,190.57986623916702
1,1985-08-03 14:12:13+00:00,164.3294751370131,159.8517602692273,170.39835246612827,174.13581963736166,175.54158823544833
2,1985-11-07 14:10:41+00:00,,184.11541752750617,178.99739022763694,188.99290377320452,196.20173997428617
3,1986-07-21 14:04:59+00:00,,165.92775507606947,170.99140707259704,180.27358929541833,168.88821840475362
4,1986-08-06 14:04:00+00:00,,188.06802484020594,183.71510805821376,188.81763315572647,187.486664982
5,1986-10-25 14:01:41+00:00,,188.23323724952314,190.2754512972998,193.82129876497828,196.8988600238942
6,1986-11-26 14:00:17+00:00,207.42302600853802,195.1768791475308,196.744228818633,199.824732838369,208.2836501524203
7,1986-12-28 14:01:38+00:00,197.99896769324008,187.4008110349537,185.75433625863363,186.4130379679929,190.28889743378178
8,1987-01-29 14:02:34+00:00,202.92557855451784,194.11275924270294,191.63125893491494,185.996348952596,187.87507343679883
9,1987-03-18 14:04:25+00:00,206.74153969764666,199.64900530251956,198.9679213476204,199.5972216923297,197.99736984958622
10,1987-10-12 14:09:51+00:00,185.41480088808325,172.27632344588397,181.69826832015198,190.99774819063379,193.52924320617345
11,1987-11-29 14:10:45+00:00,,172.69296208843926,177.31548925103186,188.10368595026836,189.71870748261367
12,1987-12-15 14:10:59+00:00,198.0741437907419,194.01289806311704,186.07820393027674,182.881914838422,185.03857127244294
13,1987-12-31 14:11:15+00:00,198.6440742963347,182.30940741918857,191.46702929918735,194.26841218970787,196.23139910302405
14,1988-02-01 14:11:50+00:00,204.8495310543829,193.86306613501955,194.65733584856227,193.43524397234884,199.87135118718706
15,1988-02-17 14:11:41+00:00,203.7200278964592,192.06893939076028,195.20964257861075,200.43970501159276,204.81407228946873
16,1988-03-04 14:12:15+00:00,199.8179198217623,193.44466214794826,197.02327687580805,201.63304550899994,204.60460802343425
17,1988-06-08 14:12:58+00:00,182.11385300986208,169.8503384843911,180.07921123202746,192.03091113009714,186.7511909012415
18,1988-07-10 14:13:07+00:00,163.46584937888892,141.45679290714347,136.81131983162146,,153.69442800804447
19,1988-08-11 14:13:08+00:00,,173.90024973217461,178.2677827639964,185.70358479568915,188.8091345551976
20,1988-10-14 14:13:00+00:00,,184.60026881818072,193.2090585648279,194.08151023506588,197.09484977720743
21,1988-12-01 14:13:00+00:00,,183.02428360957856,190.07756921097354,199.90564735709503,207.0505213732767
22,1988-12-17 14:12:47+00:00,206.89111061910117,194.813063831738,196.1681907248864,198.83176685672572,207.54350066024915
