,dates,chi0093-0000,chi0093-0001,chi0093-0002,chi0093-0003,chi0093-0004,chi0093-0005
0,1985-03-05 14:07:29+00:00,209.83291318318703,206.45233232820647,207.52084992425324,180.50584497009942,199.56069255309552,222.9553119824047
1,1985-03-28 14:13:13+00:00,199.24490995736605,199.10368075621312,208.7913151612663,186.06509753481262,213.20158963323462,223.0220483876429
2,1986-02-04 14:03:35+00:00,195.04090980535003,201.1333009317393,203.56559930473264,186.7084307763469,244.12736737190073,251.08086894453535
3,1986-04-09 14:02:37+00:00,196.15952943781764,199.68986475174407,211.31385321489427,176.1219837551296,,
4,1986-09-16 13:57:34+00:00,197.84201816474229,199.08372149086867,211.72472247836126,187.6880401753446,208.81452435551432,222.29959752953187
5,1986-10-18 13:56:08+00:00,199.22366678946523,205.36405188157258,205.84430827568815,189.998515699997,222.4011694676724,235.9543631700425
6,1986-12-21 13:55:38+00:00,204.42408471527548,205.2201562922003,210.51193147345157,189.46650885090182,212.2955721992837,223.4774437705458
7,1987-01-13 14:02:29+00:00,,195.47331507476466,203.2629305796263,189.1154706857241,200.8590830767492,224.89828848279907
8,1987-02-07 13:57:09+00:00,196.6816840872706,202.4031655956684,206.11907832835433,189.52490718239264,213.50486327923122,225.01614689614036
9,1987-03-02 14:04:14+00:00,191.51367994199728,200.04538023453367,208.4337082572159,184.6824102004383,199.56996741725342,
10,1987-03-18 14:04:49+00:00,200.7092116510914,211.83056835262033,213.70848840111617,199.9961202898684,213.19212825500202,234.71420092197943
11,1987-11-22 14:05:16+00:00,201.28071534833722,195.97892238629206,202.92143574870667,175.6981187015632,182.06913233488623,206.017425447321
12,1987-11-29 14:11:09+00:00,187.0814619067315,189.69671281273702,199.10814708078235,180.85411203811736,201.34450532551003,221.1009716345542
13,1987-12-08 14:05:29+00:00,209.19593332178596,201.00541461867076,207.7985464507296,181.76401253639278,186.0744107024474,211.05998792093143
14,1987-12-31 14:11:39+00:00,190.31266801141672,195.97732670524258,200.62825736707484,176.3628454542094,201.16671891855805,220.41640930808882
15,1988-01-09 14:05:37+00:00,201.2814718776681,207.06392879494132,203.22617107260908,191.40264447265852,225.15135688675667,234.7733461599179
16,1988-01-25 14:06:19+00:00,,,,,241.3957112741738,230.00543672994027
17,1988-02-01 14:12:14+00:00,198.19765541815764,192.8667675685681,199.49556433592198,184.18712690040783,204.99749518512826,225.3558653708707
