,dates,chi0368-0000,chi0368-0001,chi0368-0002,chi0368-0003,chi0368-0004,chi0368-0005,chi0368-0006,chi0368-0007,chi0368-0008,chi0368-0009,chi0368-0010,chi0368-0011,chi0368-0012,chi0368-0013,chi0368-0014,chi0368-0015,chi0368-0016,chi0368-0017,chi0368-0018,chi0368-0019,chi0368-0020,chi0368-0021,chi0368-0022,chi0368-0023,chi0368-0024,chi0368-0025,chi0368-0026,chi0368-0027,chi0368-0028,chi0368-0029,chi0368-0030,chi0368-0031,chi0368-0032,chi0368-0033,chi0368-0034,chi0368-0035,chi0368-0036,chi0368-0037,chi0368-0038,chi0368-0039,chi0368-0040,chi0368-0041,chi0368-0042,chi0368-0043,chi0368-0044,chi0368-0045,chi0368-0046,chi0368-0047,chi0368-0048,chi0368-0049,chi0368-0050,chi0368-0051,chi0368-0052,chi0368-0053,chi0368-0054,chi0368-0055,chi0368-0056,chi0368-0057,chi0368-0058,chi0368-0059,chi0368-0060,chi0368-0061,chi0368-0062,chi0368-0063,chi0368-0064,chi0368-0065,chi0368-0066,chi0368-0067,chi0368-0068,chi0368-0069,chi0368-0070,chi0368-0071,chi0368-0072,chi0368-0073,chi0368-0074,chi0368-0075,chi0368-0076,chi0368-0077,chi0368-0078,chi0368-0079,chi0368-0080,chi0368-0081,chi0368-0082,chi0368-0083,chi0368-0084,chi0368-0085,chi0368-0086,chi0368-0087,chi0368-0088,chi0368-0089,chi0368-0090,chi0368-0091,chi0368-0092,chi0368-0093,chi0368-0094,chi0368-0095,chi0368-0096,chi0368-0097,chi0368-0098,chi0368-0099,chi0368-0100,chi0368-0101,chi0368-0102,chi0368-0103,chi0368-0104,chi0368-0105,chi0368-0106,chi0368-0107,chi0368-0108,chi0368-0109,chi0368-0110,chi0368-0111,chi0368-0112,chi0368-0113,chi0368-0114,chi0368-0115,chi0368-0116,chi0368-0117,chi0368-0118,chi0368-0119,chi0368-0120,chi0368-0121,chi0368-0122,chi0368-0123,chi0368-0124,chi0368-0125,chi0368-0126,chi0368-0127,chi0368-0128,chi0368-0129,chi0368-0130,chi0368-0131,chi0368-0132,chi0368-0133,chi0368-0134,chi0368-0135,chi0368-0136,chi0368-0137,chi0368-0138,chi0368-0139,chi0368-0140,chi0368-0141,chi0368-0142,chi0368-0143,chi0368-0144,chi0368-0145,chi0368-0146,chi0368-0147
0,1985-01-25 14:04:27+00:00,268.85586198731585,,,,,,,,,,350.3579550408504,362.7201965643719,360.1360921557925,352.2342589453819,348.49098105799516,352.5408763443525,352.0742362145139,353.41844993189545,360.4107241730215,360.51748466274984,352.3699285742279,343.98801186140764,334.20561651609023,321.95813617234546,324.6139542239029,327.124181205994,326.76974885555006,324.7615446837277,327.0034145375145,323.23598848955425,311.4351596026515,328.7705792195665,330.9042876371021,318.45109472450764,322.37916570920123,324.8289559814886,314.5863779154343,309.8360203168275,310.50216478211655,309.62294354508447,311.04248526585303,321.5713285950299,323.2214101648984,319.3427114958867,334.8646673597948,327.90849409544484,315.09809607728545,314.7150758886633,319.51042579178977,321.6515075029771,321.61048965859266,330.4321552225598,329.8694819855697,328.0084648946742,331.84563634939167,341.3544626081929,334.49734580972984,337.27766096364013,342.59175197245816,335.4725892176204,330.19884730629036,343.7166276095757,341.2584348172194,345.567075783288,344.4787842656877,342.62086297010086,328.53362932423533,331.30042714911156,335.3855809445138,332.86829951085986,336.0366568682029,340.67607020180395,335.6953250123334,330.8269758978284,331.8855646826639,328.0636644581195,305.4017753558175,321.6678312912812,321.9050087624396,307.1993537994278,314.5920130797369,314.60448199726636,313.2468872641352,311.4617684325235,317.2384384415367,314.1430305991316,318.92275585833676,306.7634280508936,312.97666725907294,317.2116310497377,330.3848142182755,325.6223320559269,327.5292850818298,325.54120679657365,330.99493187330563,310.6626719626764,316.74380689648143,324.3220653887948,324.9100547604715,315.1802001540938,329.4682703737488,338.77274301103006,338.1618049444911,320.293183563961,326.2384938004266,315.4032507486506,318.8190307075562,304.4250638915756,324.38916255370395,317.0747993255649,314.083388562175,321.9296587396746,,,,327.5443706517657,323.5074173442926,322.4529384458009,327.2132929446986,338.1978505510166,341.7641226305763,347.6013164579774,324.0806072200561,336.3398689960716,342.64302959870184,339.26289475703436,342.52667993495584,334.694057957531,348.98605299252756,341.5112986411885,356.3979491959948,351.8972816168228,350.706555286433,362.513587695268,369.1968684220938,353.0525294084427,358.7489570442228,345.85220559386636,371.00697644660596,374.3180925419644,381.1775161258008,376.45498076553287,374.4623535163942,375.44136647357993,397.7566648323004,,322.8743537585608,366.2505289247168
1,1986-01-12 14:01:54+00:00,277.59435186437656,275.9525649925475,262.78488707432143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1986-01-28 14:01:10+00:00,274.1033174720357,269.534956852009,270.24386170633255,393.2833107584265,390.46792467161043,388.3011025802624,,381.57731479442765,389.1223441000244,394.65142304441724,386.8799903245349,383.0377135327955,380.4365060874311,371.3787131273038,352.44907077858664,343.2580592081985,356.94357666559074,362.34095875586615,356.5797579792663,354.80594918597245,340.5535446585932,330.795029653502,319.9912503194871,323.88904658047335,311.1652447380221,312.31365411199744,313.13999719978966,317.8176654483734,315.5928484950882,317.1382535761079,314.01366475149445,312.43119741932844,316.1459492532827,319.7595108650244,301.9476434724917,298.97218395855003,294.7241687506221,293.6190880420284,290.19496652919474,309.51095963954805,302.94740734370447,301.5412899673226,304.1815181365046,310.5048535513201,298.0497839712058,302.5847905194615,301.41335556426964,295.9751858853945,294.9013901666663,313.18838227418945,315.2018582984638,309.1333084549913,314.4552332436965,325.4121454402845,320.84645987583775,327.2778592629307,321.141245605662,325.6708315043248,334.5692206475427,339.49207869814,332.6286363492533,321.97403260918907,325.4617452374462,337.18867149816685,316.494492240494,321.4177725418837,331.75243505597314,327.9809384673589,326.7913118899119,326.29335247058634,326.4041907581843,327.2271477157013,333.0861720537354,326.9696475635797,323.91861694715357,322.41102265387156,322.9844751208423,322.5565261777777,325.31461069984465,325.8216348801798,312.489382721207,315.8334922005282,311.4765149534516,304.35681979388266,303.5457362408064,306.1443857311861,307.04046492904484,310.7666649310692,320.416515146731,318.4698390584188,322.12517474565067,315.49795662806054,317.7713218374771,313.59238246438383,308.4142440365941,310.8895077431803,298.8502404107084,301.494835653405,318.27116138401504,325.47043443500473,328.6149785243595,329.6684338479901,333.1903028240558,317.5532594336918,310.8121665768486,317.90660801606145,320.38461972236223,315.4962694490722,326.87044583063835,321.93702932178815,317.5749395887989,316.811060165737,,,,323.89615643960843,322.77058874035214,323.10642252658005,320.1545617150657,329.4578707501738,330.16483498924646,337.0865543170318,340.6317812502924,337.3736074127429,339.63275724567274,348.1420572611853,340.25888486677036,356.75431466171847,350.054823022491,351.74870290781945,344.87257208480196,343.13092426013236,349.4002853061557,339.57659264303027,336.88229274073046,337.5056522189519,344.39728692776345,347.1273510543959,351.2731290664043,355.2484412927831,355.9610752336152,369.20228667902757,373.4058102772229,357.190153079202,373.02589936789997,,296.18794676590517,360.5965319394031
3,1986-08-15 14:01:53+00:00,292.4792595624045,342.17128948435186,364.8524288985002,369.00253949311184,371.30205978541915,372.565985194589,350.4844604734417,347.9996368131078,352.8492752675634,363.4642029435369,355.6638950869895,344.31267149067463,342.2720227778222,334.01184790155816,322.5397033744065,320.81227083152163,341.9549115267777,355.0977004980085,363.48983969703045,357.622605513973,352.67707818715866,363.0267157532589,355.8384603875318,343.77799520957717,317.250972277583,298.338213156051,313.0644426915138,314.541617493084,317.26259232012455,310.801886814384,299.5305621125327,307.1010407258121,307.4111184640223,308.9176529902899,312.9942766961665,298.62762486643084,307.70341564606804,306.9536462743921,303.4687993264087,303.5818647520459,303.42426125666526,305.5611216838072,314.81320040201166,303.64056100652766,302.2298184212537,301.2160242068678,314.8527452914018,310.0689137425143,315.15981862048545,318.98861424671446,317.50740197306135,315.4936746509832,308.28952374578193,315.66031197208184,301.1715925481682,302.6825379576377,315.92765113979334,316.89164815886494,328.20748405605707,324.9347025205217,312.52427402763163,316.9490297242707,325.451070069116,331.65683966291044,328.9895764412382,326.4270061408882,316.29172865371186,330.32296727021094,316.2366175518625,328.4338573438175,333.56680586764855,308.14422354652254,332.1831938434662,328.50488482800483,325.62704843271166,322.2206685313109,316.2290001593292,316.54334448648314,317.4996591179902,308.8106954820011,303.18625121770674,310.43539801090145,299.8745440337673,295.83443522369976,304.86075264792964,325.10640301160157,298.8831696741399,298.3542639267522,318.5235570864244,315.7737760759262,303.66788451825346,313.21766985173616,319.5877373424397,320.76002580281073,325.53675734961627,318.84542635049957,319.11252424310624,305.42378374847266,307.5091269118143,317.70695324110324,295.58129801651194,313.6860237469442,325.49819006115797,305.1534110408005,310.32309550038366,323.99570544330766,326.19386389911205,341.17657173035025,310.6210707490962,324.87703066041274,292.23740758037485,295.43658709926905,326.10594024674845,,,321.2233999143355,349.56306901625794,347.4331463241925,330.7709636919745,311.5959808875395,309.4463325644856,322.18469708464585,345.33712830132845,327.1813896950179,331.266066514077,325.78979879148,360.50364034345887,373.16620968594214,366.3827682476373,331.9646281361034,331.6212116012416,352.59269738796866,333.55252699660144,334.97569691399354,335.2331587046209,338.8327016370676,324.6492007475251,351.08792445184986,361.663820050478,360.61782855482204,334.8973760618323,339.92825886063514,335.56528543490265,332.3045039353721,378.96621877809673,,,
4,1986-09-16 14:00:46+00:00,267.43412223176654,336.6925638249076,367.81660881400694,372.0179158505523,356.9078195589043,354.2600661108705,350.79684463425156,332.5544186308108,334.8851782685827,335.192287423659,337.58881057104435,340.3447687969871,321.16940480489836,313.77532955802894,310.6931773087243,305.9716003241246,335.5886789951174,365.77433446216014,368.2110089106938,360.72096261950975,348.36752641741145,337.83976642233495,325.6283584421226,328.7416576028874,325.49317148476484,310.0556500871524,306.5123251330092,310.5988659158455,302.1851045760622,360.71492110073456,,,305.74194912935724,313.8010468409811,301.833320356918,288.3136868132828,286.01559787889147,293.1575691050427,293.77188882001093,300.66469921411556,,,,,292.2226305317684,292.407873694324,301.8090293342978,304.84744275413686,299.51263065436825,301.72524796615284,307.4688819339728,300.9213221437204,304.9919199189025,306.45740658243136,302.46743951511013,301.2648608598865,304.5841691626978,313.06587515846525,311.517055121589,321.7914693447858,317.41164219910587,308.25370346490547,306.49084036288525,316.1005706876423,309.75308889679513,300.1610512777039,314.1189215143912,315.2308048454453,310.0406574458398,307.78042889250685,312.57442846358487,314.02947879838234,312.13862400728175,307.3373423443519,304.13678585823527,308.1860734724155,315.55404128999055,305.01437968573197,312.67379044696315,308.8699427077572,300.8898024522919,298.0811561111066,293.06507434828484,286.7455945515215,289.32701904477653,291.64873062449175,299.32961590619607,297.1312021971916,296.0318425556999,306.64998422084403,298.71449041942697,300.30499087333675,302.4773559121499,303.17124096685444,299.22456941555436,299.5066451031673,304.2420539787085,306.9084784167547,304.3419029492206,309.83175543630944,302.5980693030882,301.33814709990816,305.74670753696705,298.4617299137022,300.5098799339709,309.10393443717624,312.5783760154852,317.0894394390885,317.0371070059507,293.9849072022256,294.3445550589477,296.73575406698535,,,,314.3796574939694,317.2551447973477,323.7315101963161,325.1957879566164,311.8189585206783,303.2732786832391,317.65893789583174,329.37835373995057,314.8397346090869,308.7542612581044,329.2304387954989,348.00472465767325,346.43284852980526,332.7982637273059,329.9362955517232,338.2397702436876,327.08214845432235,328.82491189455584,328.39282640191783,332.512300084716,336.4722765455308,336.9307222565493,343.1465003427813,338.6420480743292,323.185245148669,329.1445530330456,334.4027989991034,337.81489744062,324.348733892788,293.207174581459,,,
5,1986-09-25 13:54:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-10-11 13:53:47+00:00,287.9561271060143,336.0556980923153,375.77326313695164,380.36306023646944,364.07626841233264,355.35251688882846,333.7949305356869,327.3746123117203,327.02517087573625,345.6126612768111,338.99140889893954,328.1098968513838,331.6880284747571,328.85032504556864,319.49390360812845,324.98526969364417,330.24776350463367,357.1643903786228,362.9632856845205,363.23392476132983,351.0549872925714,344.0588010526419,321.6722647716716,334.16370035009936,326.32062529688386,310.6871275966981,311.1697573818818,301.00584342509853,297.28601176316016,297.93748116180245,303.4888678384689,304.0192358706794,296.807403161087,301.1615330727495,298.11497271545744,290.21790716295783,293.144094072177,289.4185670000023,287.970807186757,290.2463328481364,295.7692172112903,294.04074947689105,298.32836640140744,299.41811079639683,294.1893891258176,299.9632095197788,300.10903767334884,307.42771768158383,300.6302769043389,304.7567399461319,304.9317084548261,303.6299754235223,303.4550193123,307.3680698409606,309.44724010083655,310.7634900260216,309.9108279902088,289.6085588261262,300.51552812843875,322.875159515619,319.6927512652241,320.38847690663437,302.9043228203416,306.6503120193289,309.3172757008892,312.0226980439087,307.5929010713177,304.98388609337115,312.048797210301,312.3165480279553,309.79555359819284,312.43997931136533,315.59571327094415,318.496291313173,304.75092425524326,307.5766572590725,297.41086869210386,294.75322480926076,299.48057522815645,304.4632128591686,294.13329022692864,281.5506192063913,287.9009909368965,296.0023125937466,296.90824334951435,297.2595410944162,299.14018762153563,294.2237267504686,302.2957368628654,303.07126709336677,297.8729674888886,298.17094759488714,299.7298884053839,301.40688420128805,297.26927246319417,301.07066043224387,303.0347353708746,303.6743975864478,311.0392287153186,309.87752463067864,306.3203383745659,300.7425610798524,308.6373326308864,301.6872718829932,311.41911739040785,299.8177891368473,300.81002764220074,309.90989896258753,317.8714698066164,305.2095525741468,290.4033944999021,303.5849327210049,314.2771340803688,,,312.0040406478097,295.71518972650495,300.5032823746708,321.58610512790955,323.13799579603744,306.85214435372205,314.8885019583795,330.755734659109,319.9239721252746,302.4998862996703,321.2006024891724,328.90079731930257,341.99300561209935,349.01336288464944,327.5095875555289,309.87922464660363,328.5809573822063,336.4358488031423,322.5053098091151,327.53476823008793,323.74329361235596,327.6529978958345,318.28554668333703,330.9209837559815,335.59267237693,345.1538591795211,347.7205227826554,324.77798465681275,326.1226904858777,325.0378374962845,,305.2797327381296,396.5159744287613
7,1986-11-03 13:59:10+00:00,281.8593203227189,335.2204956230318,372.9145589698285,377.17414830770394,375.1220311845985,359.54239149237446,348.2062771384961,339.5585749815364,346.78295281588385,344.1734903296206,348.7845772280445,349.37507127214917,347.191428111532,348.32557219969704,347.84543218859693,343.0363302572449,352.4085112696552,369.7513387753067,384.63909222277465,383.35503694090215,380.08060368066054,374.5150292682132,361.4414066122961,344.37337060017893,330.90292560659725,318.9598042509591,316.11066719707213,319.42666253623673,317.7420742023826,318.59886315763583,316.3375384100474,320.6275913041191,321.7162474244254,315.7964304480081,309.04120713469763,300.1076931977854,308.1344363407773,304.91904433231105,313.70582916469556,311.15226860501036,306.81599721311954,314.00052936852177,310.0753814208453,310.29876077894795,314.05058232747996,320.1991264128224,314.7171377090406,317.1303210021976,319.2881932288898,325.411902611602,322.3720165682986,318.92706395291606,315.7472478314133,319.21730299070236,323.8901698494005,335.1729505508517,330.6149508373224,323.02113896888204,323.44724992121314,322.4960968324471,324.25233563101824,334.0496220673086,331.39085895651374,330.3078091434073,311.79408916659077,315.8809175127073,325.70550786308036,325.7448620975085,328.4142535179563,331.8181631109595,333.13523049304587,328.99223036111,322.10014865297495,318.44099572088646,324.4661005540496,318.7579441129668,316.671954250977,315.1937752785061,310.62629769757854,318.61905230059614,308.91540267332715,317.07053430730576,308.008376726008,303.32631034596,306.25396158131844,311.61662807260535,307.44025995608484,319.18562648187157,317.5215295983426,314.6770213848361,305.2494193375558,304.88797143032315,309.22016791882294,310.4973954186954,310.73818642622,314.31453720475633,319.5214750519034,326.3324234929301,323.7917784127269,333.4554684358287,336.731740262476,332.62646166840005,315.81223687143705,316.4555028226732,316.7109211463038,329.0723590829095,328.46610479643846,315.87289921635943,324.09534676836654,326.80666123499674,314.99488956587845,301.9143773887794,305.88676206687495,,,328.2829004222234,330.2316858233542,320.85774822785197,316.8140693500546,333.6528662172909,341.26465037692105,323.6153929679206,324.9716580260728,331.3280556722416,333.11754645736147,331.47939198013336,340.1252629390944,349.0775756426143,354.24893012489974,351.98542790605933,336.20654240439046,330.96296446364966,337.6929331304418,346.1719882575491,334.67207096424244,336.1242738852891,333.6674393070407,344.4736724825799,340.45844082654406,333.6384457390349,338.46585489156024,333.3401792373839,338.7908152790876,325.9248671871041,314.30944867002086,328.1641232905655,351.72544044495385,389.8895094745747
8,1986-11-12 13:52:38+00:00,268.57233822172697,322.9387107256576,366.5039456687998,380.26491707727115,375.65655319142707,362.97476556641504,343.9659161862705,334.09763994512434,334.8220722413833,336.417561147306,325.61423872715795,330.0622668141419,329.0360505874208,329.8901680994705,324.1418724449259,335.57215426926393,335.09810334907644,357.187248589643,367.40053083730726,376.78643468459234,367.79197708289956,355.99827864202183,351.8138134842212,339.86306265206133,323.1419287050961,315.34589250150646,310.22546317944915,309.70018676098977,306.76394813795827,306.9164495626695,290.700495804917,300.27512552499024,306.5585739984415,305.42722984197377,301.49287010036,304.2321437860234,295.79164703170915,303.19463333853145,307.0214155934001,305.1366743480825,296.305303812768,296.4337077749288,298.01704505385834,292.8587725583242,291.318296358598,310.44560228639864,311.0070159188435,307.9221658021166,312.7791439453024,311.6833679240051,308.66082993718874,305.55778145842083,306.38944689712815,309.5061056169973,313.627402986254,318.6000561594463,320.0049423268341,317.190894268418,321.0280713984857,318.8081138811391,308.94174184075854,315.751240041509,318.1771101764235,316.63819990464174,309.5919117939753,308.33919743689756,312.1764271048739,313.51959299672734,317.5106110318971,322.44144524810633,306.4560328526973,309.8275158673519,314.9248875681336,315.1988974272035,317.0745097703221,317.26420067055267,311.1655219849078,306.8465641773223,299.6088351275872,294.4954649581569,292.0507769700734,296.2985465142578,300.12069521623295,292.6157221463469,299.91405152156216,305.92415944915444,298.9402213562809,297.5199389651993,304.18181924700724,299.3957730312544,297.1713870185359,293.157071062457,296.5300751339117,294.3633043846671,304.20383536386817,301.63434260091475,303.60580306952204,308.3907601265603,316.99026839022366,311.29411754508703,316.3262136755378,308.609986259276,306.16893750485366,305.1653155819404,313.8762740060297,319.4625136535771,319.2980056139023,316.6196387292887,318.4146208293854,300.9549174570973,297.90241134373684,295.8434933064248,289.8853453483004,,,315.201185702887,320.3450098254852,326.8644510138562,324.0804668919407,317.26890700538036,320.8474853912138,320.74983041030526,311.6947737848095,317.40834030725847,328.9008253051808,323.26546752618947,329.6467083049636,334.45157692081517,346.1202283553152,339.74166468725684,333.59041451103224,329.2052670766273,324.6925597888302,330.43015367065635,337.54737585461413,329.3212324958509,323.09133370089563,336.2685130008797,331.19165196267744,324.8772375361433,319.8928185090738,318.9952220445849,319.3894274372955,317.84291529871314,324.8448386227557,342.7818260698378,371.617345584675,390.3802828049837
9,1986-12-14 13:52:49+00:00,307.1790053090947,,,,,,377.6170727407967,363.7045702858463,354.94361934977843,339.5891669894126,332.52524696856653,332.5764581714093,324.18106132279075,319.57400328022953,318.6108361995356,316.1267450848166,334.0172182848657,366.7524050380062,377.7325047056509,362.44318650687717,380.03948135869297,359.56467096117217,346.9402018129393,346.3322064226987,342.585717758233,319.5593948545315,304.9347261469695,303.17876382521666,298.6062169464391,295.96140089596736,286.83096004550094,289.0584818677086,294.69452811546614,289.7057787229358,286.1301204125538,297.739169124966,306.50790258365663,307.5451650889128,299.0730438516114,309.39493494386016,306.03480883608,290.8142621562843,290.00978340754983,288.0591716022919,293.1546734592269,302.3241208654947,300.5002481737761,293.0935489780937,296.03152735257595,309.18472010612334,294.5572010818169,295.81872123127624,295.23856864332885,293.7023228857662,302.7469249469128,314.8600814026882,312.62166995274197,320.94634065196664,313.5294745633495,322.06816088599084,313.35438970617355,308.2439612283283,314.01604917994405,308.919408203321,312.952177565187,297.5907385871919,296.4799448552901,307.33853241539924,307.36312250926693,299.2406758856885,299.82486245657526,300.0136156436692,302.2443583926035,307.3732886127261,310.156197447489,332.2220828550368,296.25794132159297,,286.5026217119625,290.22198448753755,285.59234441967055,284.5931870886375,282.72113173627037,284.6610300767219,290.1298863045734,298.060335515744,283.21912575917605,286.836574983469,282.38696455371223,284.9350445080769,284.35540160494946,284.9317220141217,280.3557058204519,281.67462215997267,290.0984770770247,268.9621858596642,289.06979583064776,,293.42196581265375,303.434924305278,318.39035236654263,315.8018694922426,303.37345323554746,294.1862365937804,294.62506766989634,310.7928847467404,303.627258061016,304.88464297307223,316.4610331695066,297.7544282055947,273.1287229165006,267.13223452153386,,,,299.55727776641424,299.49619670992206,,313.2187055759664,292.00010598310934,290.45349726534573,,291.2136468851551,310.449386832562,298.04155862961903,312.9652556271562,309.1014666695236,307.5011211116917,,,,,297.93098131326,323.8073299354772,316.6630604303445,312.69497322235543,316.5236000160802,304.8170134150577,,,,,,,302.9244021018848,357.8009794471152,394.3904596966641,295.93511252785913
