,dates,chi0515-0000,chi0515-0001,chi0515-0002,chi0515-0003,chi0515-0004,chi0515-0005,chi0515-0006,chi0515-0007,chi0515-0008,chi0515-0009,chi0515-0010,chi0515-0011,chi0515-0012
0,1985-01-25 14:06:27+00:00,179.30690963656002,175.8658147510208,180.04351107271458,200.91865873237444,187.96371145679512,190.91008316161805,199.97794786855,203.778475777084,212.3801744965695,211.79751876541647,200.32191012426387,178.72708837235626,130.40693719482934
1,1986-01-12 14:03:30+00:00,203.8915397171555,178.13017459948594,159.59208636403486,178.84146318607978,183.7188532684655,189.80666875462492,210.3548855461101,221.64082684562132,213.21502939450667,218.2257465013788,212.24032549639907,177.9003928545923,154.42408123312998
2,1986-08-15 14:03:53+00:00,230.4098649952073,,,180.05087853553604,168.28755360028273,223.85859196852655,235.96457644071987,218.72841484682002,229.58155979146457,216.7602924701169,216.44362567317367,221.64208471321845,219.30835433925884
3,1986-09-25 13:56:18+00:00,237.32253438625125,208.66508994372734,190.0284970738867,218.62076336830182,221.44182655001424,221.3386068231164,223.15696438706217,225.7913012115156,203.21940302924904,220.96047563041168,228.0262221789282,220.6964050927748,206.20527194492905
4,1986-10-18 14:01:19+00:00,225.71945929811298,200.94056593401243,202.07984141493495,216.54222642371226,213.71673703226747,220.56645056449642,217.86277149808336,219.94451066871713,195.99618298119682,216.7434128672382,222.15313927692588,209.26778501891198,200.75953267626915
5,1986-12-21 14:00:49+00:00,228.5081948112565,229.7302464020559,215.59019244875176,239.32674810056454,236.29988111419442,234.83682896939865,237.39453880726728,229.56758532175357,225.36745223072103,227.56365707074286,235.9515255001232,245.8209822634661,225.81575939556512
6,1998-02-21 14:18:29+00:00,248.01589098162194,241.0557373262181,213.04002274804395,229.2766413304848,259.78632178413494,250.4552557831081,233.55790768670653,251.9201029960665,265.5908919895588,261.59512322799515,267.2766031977493,246.50493696076705,208.31877541760127
7,1998-04-03 14:12:54+00:00,239.30828149190754,214.53541914923582,206.77832693453092,230.50963014574833,233.91300367604097,231.62804282406654,230.87190645264806,220.91565686469852,226.5931935126674,229.8679069169426,238.01662943245876,241.026978561765,202.1499682248548
8,1998-08-25 14:14:40+00:00,206.82436724855708,207.2254353095876,203.57127737968443,204.70815681056882,,,,201.4565394060542,194.89379987603428,193.44132606221933,187.3322091726146,186.82190162309305,
9,1998-09-17 14:21:02+00:00,226.72867661646842,234.23801790687702,240.30595555423207,212.5593282740131,,,,233.92459479910488,241.85651441273635,237.40772482662658,206.75211790122495,215.72372369182955,
10,1999-01-23 14:21:16+00:00,205.50000819729257,205.726875234125,223.24069947990816,,247.76634275069108,243.67800485093738,251.15478025342708,256.3025065165018,239.1929570571993,209.08588384497943,201.34210087305217,184.34714057620224,188.10641552734378
11,1999-03-12 14:20:54+00:00,233.81630366502216,226.62780624038584,,180.98020660887744,221.32256689169125,246.0742312631203,253.22793829472076,247.00771306477762,241.61614936488076,253.53819772247894,249.60361490435537,234.14823340366863,191.53795662228185
12,1999-05-24 14:14:17+00:00,213.78878299336762,,,,,226.29851886391245,233.88510865173564,232.06928760169492,222.05905856267523,,219.91722705148933,221.4094631219541,210.48902375800486
13,1999-08-28 14:13:23+00:00,,,,,,,,,,,,194.32922957421897,
14,1999-10-23 14:28:55+00:00,204.38648421255033,,,200.0756677353667,215.4172559324676,209.48113691941742,216.64527164398197,216.89409111670724,,,219.84414316131162,216.40745823084097,208.70004520351443
