,dates,chi0534-0000,chi0534-0001,chi0534-0002
0,1998-08-04 13:59:29+00:00,,,
1,1999-08-16 13:52:31+00:00,,,
2,2000-03-19 14:07:32+00:00,,156.66375872170465,159.4889474546084
3,2000-04-27 14:13:26+00:00,,137.50982346949849,145.47327422700624
4,2001-02-02 14:05:24+00:00,135.72173843790333,146.66919398617958,162.19862451851907
5,2002-03-25 14:03:45+00:00,159.21744927327993,162.40986928609217,162.6274993429897
6,2002-10-10 14:08:42+00:00,,,
7,2003-12-09 14:03:40+00:00,,,
8,2003-12-25 14:03:49+00:00,155.06782790525023,124.9699579793557,
9,2004-11-01 13:59:48+00:00,122.60886247490771,142.8732956549672,141.5305255912085
10,2005-03-01 14:04:37+00:00,157.4897131153123,159.40151846541545,171.67496712812238
11,2005-07-31 14:02:51+00:00,,,
12,2005-09-01 14:03:03+00:00,,126.70550110819082,150.2913537361413
13,2005-09-09 14:04:03+00:00,135.37762140712996,132.16386939148327,144.45159055440013
14,2005-10-03 14:03:02+00:00,157.6298166627586,155.6446481268411,176.02189392733825
15,2005-11-03 14:10:30+00:00,119.66274810545778,,
16,2006-02-23 14:11:12+00:00,,158.54450954435387,181.05394574355702
17,2006-09-20 14:08:49+00:00,134.22421698361612,128.40339425290492,
18,2007-09-15 14:04:45+00:00,192.02763223575388,,203.4339238855188
19,2008-05-03 14:11:11+00:00,,,
20,2008-09-01 14:03:58+00:00,169.53728966993938,169.74012061519295,165.20831361396313
21,2009-01-23 14:04:41+00:00,164.21714250830308,164.53848349670187,176.64504140957723
22,2009-05-15 14:05:22+00:00,,,
23,2011-05-21 14:08:31+00:00,,,
24,2011-06-06 14:08:32+00:00,,,
25,2011-08-25 14:08:19+00:00,,,
26,2011-12-15 14:08:45+00:00,128.98304035015298,150.01932546876017,167.25635956583227
27,2012-05-07 14:09:32+00:00,,,
28,2012-08-27 14:10:11+00:00,,,
29,2013-03-14 14:17:15+00:00,,172.3074041670443,175.5328528687908
30,2013-05-10 14:10:48+00:00,,,
31,2013-09-06 14:16:40+00:00,,,
32,2013-10-01 14:10:45+00:00,117.15132378060281,,
33,2013-11-02 14:11:02+00:00,94.09499584493157,,
34,2014-01-29 14:16:02+00:00,110.19582471209695,,
35,2014-04-11 14:11:58+00:00,,,
36,2014-04-18 14:18:15+00:00,99.29593609926442,,
37,2014-06-06 14:14:36+00:00,,,
38,2014-07-15 14:20:59+00:00,,73.02347171579892,
39,2014-09-09 14:18:46+00:00,,,
40,2014-09-18 14:12:38+00:00,106.99147298394821,88.18227450924508,85.64898676441089
41,2014-10-28 14:15:07+00:00,85.46657292971055,98.77422207576036,93.88981323701859
42,2014-12-14 14:19:35+00:00,110.96061886936238,125.36828115263044,129.72107226759698
43,2014-12-31 14:14:57+00:00,116.48339932333052,127.26510140394487,121.55694078373907
44,2015-03-13 14:13:52+00:00,,,
45,2015-08-03 14:20:44+00:00,,,
46,2015-08-20 14:14:47+00:00,102.57587068182059,,
47,2015-09-28 14:21:05+00:00,138.7562581241518,120.28511745458273,152.4439820783432
48,2015-11-15 14:21:50+00:00,123.2823410523301,,
49,2016-03-30 14:20:47+00:00,,,
50,2016-04-07 14:23:19+00:00,,,
51,2016-04-15 14:20:42+00:00,157.76118287239024,124.61756111669759,131.44853806594782
52,2016-06-03 14:17:27+00:00,,,
53,2016-06-18 14:20:50+00:00,114.21149431000744,118.33704828504338,124.3511160613473
54,2016-07-13 14:14:53+00:00,,,
55,2016-10-16 14:23:52+00:00,121.90589406553218,147.4203297832369,142.01899048489832
56,2017-02-06 14:14:56+00:00,122.04167249906907,136.43512368601773,142.15020732995467
57,2017-03-09 14:23:15+00:00,168.2869385317402,162.39134108620212,175.04784078787742
58,2017-03-25 14:23:20+00:00,156.1103238420772,158.0877511427209,162.53355210488613
59,2017-03-26 14:14:33+00:00,154.64885304798605,153.19671004899763,153.8275389085361
60,2017-04-10 14:23:25+00:00,,,
61,2017-06-14 14:14:38+00:00,,,
62,2017-07-08 14:17:36+00:00,,,
63,2017-08-17 14:15:00+00:00,,,
