,dates,jap0025-0000,jap0025-0001,jap0025-0002,jap0025-0003,jap0025-0004,jap0025-0005,jap0025-0006,jap0025-0007,jap0025-0008,jap0025-0009,jap0025-0010,jap0025-0011,jap0025-0012,jap0025-0013,jap0025-0014,jap0025-0015,jap0025-0016,jap0025-0017,jap0025-0018,jap0025-0019,jap0025-0020,jap0025-0021,jap0025-0022,jap0025-0023,jap0025-0024,jap0025-0025,jap0025-0026,jap0025-0027,jap0025-0028,jap0025-0029,jap0025-0030,jap0025-0031,jap0025-0032,jap0025-0033
0,1984-07-10 00:23:53+00:00,,309.3428860929561,314.3894986697484,301.5842803271412,280.6105460397008,276.3645707953143,276.9866875426189,,,239.52667458639078,,,238.26059598947666,228.0836624131218,238.80437713999248,,,258.1503772305076,249.3096525404317,255.75713918829234,254.69021342370365,,272.91049222911766,282.7150140816083,278.79716705775485,,260.76124620181866,258.7268471714759,243.50452963796084,232.50940301392924,243.33788804575738,240.1005420801217,259.7858638471,237.99531990008694
1,1984-08-18 00:31:19+00:00,,294.05389299224265,301.46284056675114,289.85172765886324,277.75833077530245,262.88180970378716,267.2544571005611,,,220.46385708397924,,,224.60702595419306,224.24381404538633,218.13802030902443,,,239.87183557170152,246.07533709672208,245.1807030709402,255.00978730414363,,281.51952602918146,278.8101066516221,287.07697722182877,,271.2022671159118,262.58758992127576,243.4040877601584,235.94849417355573,239.39249079530228,251.23580076834662,248.9364306429618,231.31930479957325
2,1984-09-03 00:31:32+00:00,240.39114450085273,259.92426122395347,264.93496657902097,252.86132963233223,241.97074642952305,236.56458800091386,,,,190.7847768522735,,,,,,,,,,,,,,,,,,,,214.48968775683707,213.95575116044998,,,
3,1984-10-05 00:31:35+00:00,272.14504407766515,292.6893665528982,297.8381400414898,284.94968876170884,276.1023329215349,268.71293406042736,282.598889047899,,,232.18695631963556,,,223.26385506099692,207.16840332132375,211.30055617879242,,,,243.32434784923092,242.32816637536013,240.6179872950779,,272.6899142005825,275.6267408149028,275.8511531719961,,263.10471686699424,240.98442740477998,246.43364372531045,,239.74638941750243,,255.70939689502853,231.10841587564212
4,1984-11-22 00:31:21+00:00,,300.1652294219051,299.2996198520295,286.81966378413233,267.4019364133754,258.6854330480402,264.27711567392475,260.283703502016,250.3829224216312,222.2550213668981,,,,222.90720825661006,223.21797437503054,,,,248.3754804483332,258.9718328928994,254.16693169541043,238.60541233830796,271.4140114659494,,,,257.188657492005,237.86352432620555,235.7587965222277,232.4582437040226,228.85341286390047,248.52006451339588,249.78273244058647,228.86689012354458
5,1984-12-08 00:31:29+00:00,,300.7713622714551,301.2049178500992,289.6638023982,264.2023354107393,254.58556367096094,263.3830059570658,258.465062213918,250.99930400681086,221.9449410779985,,,,214.74116242760135,211.88210481257875,,,239.03340926265193,244.16633791349665,,253.3729809970738,251.00179187853536,275.37043038650626,274.5106422790204,279.90504075396973,,261.91264851114596,237.99135971531365,237.6888936644894,240.28590348688857,249.26382787644178,242.79730226920682,250.3477320264757,223.89399330729532
6,1985-01-09 00:31:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1985-05-17 00:31:35+00:00,293.3342602332915,299.0010185405154,306.6753993028044,282.5796692998922,265.62682177569224,256.5982933899335,261.3471718505792,254.41243925204282,,230.22823408338448,,,,213.86913749525857,217.04187697419303,208.5983315649342,,236.05112138082706,234.18154215907902,242.86841065592878,246.9974664901301,,279.98550309331216,268.3769939486018,,,254.42488048654036,242.6280294394188,237.8763294693838,227.49229820676032,228.88051970846365,,256.5141972797255,232.55605062571107
8,1985-11-25 00:29:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1986-05-13 00:20:02+00:00,269.21133770095486,296.1330969057604,298.6121605017428,279.46373740436815,260.20935114497325,255.5218365114767,259.9881782141899,,247.20397539627174,233.08274757631256,,,218.40564044076513,219.02202041692615,221.69917149734036,,231.32020348828235,,243.7221079191969,250.80536797551835,253.34075301289363,247.76723675182578,275.80246585477397,271.36368214404257,276.28960990028446,,260.0662967144678,239.47533794199003,243.6704599427454,227.1125422962168,227.48512412088604,238.0539558536634,246.85930860502356,228.0849598257724
10,1986-08-01 00:17:28+00:00,288.1060913651531,297.3209405090624,304.1658974104308,288.44297955132953,269.67679589309745,254.8940171029142,267.5609867359891,,250.44246654838074,231.2670216193467,229.25419967819587,,231.1437018723959,226.91769515995708,228.97212409177658,,232.95553442503177,,250.74275752824914,255.422725441331,253.11814583496786,,272.483848147331,274.00959393406424,274.46000959038696,,260.63210458970053,240.68389037944814,244.14628475870248,230.81530616922845,241.68073825597386,251.80310295064086,254.63487849964028,232.303333592103
11,1986-10-20 00:14:43+00:00,277.35619432101385,293.47083821367767,295.75502065224515,286.2606181548924,270.53267397578793,263.2364601599432,,271.1213507714005,266.7048911835254,232.1005366460504,,,222.75773712593093,215.64609915014174,214.17861124086187,,,237.64412977367337,248.5721564874706,257.0113402135601,250.8876710525338,252.3790607120055,,273.50755074147537,272.24998474573937,282.8237485216193,261.1485534084514,245.35060417258063,241.0284547554332,236.94257686163377,238.80723802977613,,254.20211156964322,225.98387382439972
12,1986-11-05 00:14:09+00:00,272.29634542526594,291.52046407222775,302.6835236727841,285.1389159329441,264.51569185534663,260.3460177697995,267.4088505051016,259.7555079640533,252.5156751960651,232.8859749277347,,,,211.64650364064647,211.06956911998947,,,,237.1927552289568,241.8347482205427,245.31481243557943,237.1354965033626,265.576236000969,272.4898010162209,278.7842727957645,,261.3458573693294,239.2052464959946,247.6097390900988,235.94295691743767,236.93479192850526,,250.5612187632889,225.9183136854808
13,1986-11-28 00:19:46+00:00,,277.92922634201346,,,,,,,,,259.00505272637974,,203.00590805019573,,,,,,,,,,,,,,,,,,,,,
14,1987-05-07 00:25:04+00:00,283.819150075725,295.8121377293841,298.6428652257079,286.3251661906988,263.7774558325702,261.8084470269549,266.7265780891039,256.617979288085,249.72389547056903,224.3499261971085,,,,212.84751197904382,213.42100809309048,,,,229.3853992552326,240.33726979648955,246.75596157521258,237.52618232771934,261.35001773715493,,,262.06796100799403,247.26561946050793,228.05429573989775,,225.00930141659882,222.47210152699077,233.63257495533924,248.15240177447168,225.38198015390861
15,1987-06-24 00:26:13+00:00,290.2157623283812,302.35658436805744,313.54191428550155,289.794149087824,266.5668151600748,265.27414562415817,,,,242.29502951837586,,,229.06670311624947,227.37124715914626,237.20433913768727,,,,240.58664265696726,,251.0987711724604,254.35650544105,271.84073387852754,285.541545460338,277.4578811748282,277.810652668099,263.10388964840297,255.43111728902136,248.70695233191836,236.95558280589313,,,261.07855987294346,235.05573676793716
