,dates,nzd0194-0000,nzd0194-0001,nzd0194-0002,nzd0194-0003,nzd0194-0004,nzd0194-0005,nzd0194-0006,nzd0194-0007,nzd0194-0008,nzd0194-0009,nzd0194-0010,nzd0194-0011,nzd0194-0012
0,1999-08-12 21:52:44+00:00,162.49473170925967,162.41572960823606,159.71317001986696,,,191.32016527274112,201.4138443539486,,180.87728162104216,198.55932370121963,200.73129822242106,214.01311374917768,202.90828550852288
1,1999-09-13 21:52:41+00:00,166.1855332739215,158.15895146093894,151.34461474517613,,189.7916532008428,177.5755568189969,169.8377648828939,163.73525937305754,166.3038552737904,177.11039716981284,182.68157612546798,190.77605865182855,
2,1999-09-29 21:52:52+00:00,191.57373435105148,184.3534610680305,176.56745586353406,510.94041211428504,215.09351316697587,200.2546604628706,209.66750670785655,,,207.654243822644,214.79069539373342,225.61863764759653,220.35568765583156
3,1999-10-15 21:52:49+00:00,171.15960800101567,164.54298783727506,156.73177402092884,463.9527186588473,,188.6887474797488,190.80520705976525,177.40646696995114,,194.7538041259276,198.7727572784828,207.0732213881971,203.0889562208625
4,1999-10-22 21:58:52+00:00,176.05356818796548,169.20233537328522,166.61561826932243,411.6777729746567,214.58109754909225,198.88476157903938,204.4405127682982,199.05564619994666,183.85857484098142,199.6970598783303,209.01611763544807,212.59793382345785,210.4652516787652
5,1999-12-02 21:52:40+00:00,,159.56898951477166,156.0517666787733,413.75325031855533,195.90359742997515,183.743666426008,193.05697432903773,187.79354440199242,,188.16608848693141,193.49411775465455,193.62290412561643,201.41534397822707
6,1999-12-09 21:58:57+00:00,180.74804936995383,171.5154278230835,166.09456711847244,487.30072059453346,,,,,179.0580682903243,216.91251732475408,203.5413175388208,220.34871757011695,218.75131161070308
7,2000-01-19 21:52:37+00:00,172.4791451852042,166.4879256415881,163.27064915499128,420.18142551987296,199.01232583275743,192.58552455197324,198.09419429842433,197.37503775796296,180.8361785762124,,198.70498885376986,224.22763066445137,
8,2000-02-04 21:52:37+00:00,191.7523032440553,182.44183840351522,175.02974642185552,455.799172335226,,203.9731942568723,217.90999543952879,211.52518298668573,204.65196758221802,214.94566497740317,217.4508767813427,222.68873661550893,224.63975613107542
9,2000-03-14 21:58:35+00:00,,168.36718144018565,171.690119877682,428.0956208344256,,198.90933585635912,205.08348689324362,198.6283452379567,,191.6937968662044,203.9722854820609,216.98078166504567,215.60224350466476
10,2000-03-30 21:58:33+00:00,189.47980605962667,188.63257117631204,192.78918166924328,420.88291442188387,213.0292382241736,205.8317004445468,199.25939984643935,200.59518461304305,178.6931113982394,,200.41497993132765,210.71348837733586,198.98248523045427
11,2000-05-01 21:58:18+00:00,184.80714345249805,183.80589061000953,180.41694423116647,413.4457127281466,209.29880371052363,197.02125078523954,207.69603293333887,195.61283155785475,179.2431062275759,,196.00791408217086,205.00354708498028,202.00154895702315
12,2000-05-26 21:51:48+00:00,170.70480296232168,172.16823443858107,167.07929328409608,,198.8635702965701,194.67759586949538,,,,,212.70273230833337,197.17093350557215,193.34268797733353
13,2000-06-18 21:57:51+00:00,186.16903187187538,195.66757636914036,190.38956442801594,479.4031266117464,211.88484216241903,202.00894400685283,,,192.4668200499325,,206.61404273432262,214.51198445222303,219.3534854457411
14,2000-07-29 21:51:02+00:00,167.34487013302686,170.79889233365668,179.38665565009433,410.4262614524266,,198.6447947119863,182.27868639816145,157.171412345634,197.61897301556365,206.14577284899065,190.01391945635265,202.44619111184448,180.727072691118
15,2000-08-05 21:57:08+00:00,157.00775649832082,155.2861821477372,152.3539819514756,,191.3344896027042,185.93520837795842,165.34339761579966,133.66319736852978,157.85420186876496,176.42199373111933,151.59003557180262,,160.28256590544657
16,2000-08-14 21:50:56+00:00,179.57323136805076,184.16235792493816,177.7721588243397,450.3448763586976,,195.3611782190452,187.59478540991597,169.9462774224001,181.6720432891915,,184.8877319893379,199.1054119968011,190.50392905071328
17,2000-10-17 21:50:01+00:00,188.5250111430924,179.11591263558077,165.30736898106306,507.036346631875,,206.19272820371728,201.94788051715884,182.81748345469111,,204.27299219297936,192.25728469886647,209.63130018948925,217.3327795220529
18,2000-11-09 21:56:21+00:00,159.1956478621612,142.07654810283583,132.4500530634205,,195.0030772375108,177.3490675861447,170.50797971309143,,160.55533075743776,183.89217155878742,167.53639494245826,176.59242854899668,
19,2000-12-11 21:56:24+00:00,,,,,,,,,111.14384574350055,159.28708370816767,143.36850190871476,184.44079707677972,180.08080727430942
20,2000-12-20 21:50:16+00:00,174.64974703014968,167.37866234344878,147.92356445585128,398.066540939987,232.52423205023098,201.64406508158194,200.07052420582679,185.75391907924322,,186.63343375417995,186.53625010916426,202.26679625286985,193.24557371140833
21,2001-01-05 21:50:16+00:00,175.4504472313101,171.3592435321983,162.2713152893036,417.13597534398696,222.26398945897398,200.43416119825088,197.36842089732608,195.26499908590682,,203.94205368098434,212.15185207967104,221.89281981040688,219.9331141236533
22,2001-01-12 21:56:30+00:00,157.626628255193,,,,,164.55974148626044,,,145.71775505316072,,,,
23,2001-03-10 21:50:10+00:00,157.92667097676738,156.2436525829556,149.9483116960043,477.88062901046396,186.61589090324364,,167.7442786868934,,171.75942534076046,182.68975799033416,190.93039274127955,215.39763742318056,206.80637760171248
24,2001-03-26 21:50:01+00:00,157.46630671814793,161.42997180577223,157.2308862973501,487.63373788899116,185.35225716701433,177.5872176860878,174.06550031310204,,170.68716088104821,188.19431359861957,202.40378053780765,210.82702607219576,
25,2001-06-05 21:55:40+00:00,145.01597091082184,,150.40324265925895,,197.8972216374355,182.29979372099586,179.79383564527907,,184.97476923813056,,215.19697826980166,219.55698767991217,216.54399399228404
26,2001-06-21 21:55:29+00:00,151.88399269199718,163.90003893277873,162.35611737617234,452.1107228523004,223.32883917814215,198.31526399029977,197.78046371602963,,,206.6166492573861,216.40445441688,230.34483325251898,225.74227107439643
27,2001-09-09 21:54:36+00:00,162.28061448244918,159.29138404169817,157.83276063138828,463.5940518887719,208.50464585577046,192.09206452701588,193.34892117246088,184.07732953863353,,197.38298752550043,186.54984934936306,197.68289375640143,206.86479247176675
28,2001-09-25 21:54:28+00:00,,163.6413684811971,170.80345201826933,433.39435370238607,226.35856089688258,199.75023148431242,207.57384034575142,202.6103617261504,,208.72056041992457,210.5288530053076,209.1799026038432,213.8988609194811
29,2001-10-11 21:54:09+00:00,173.7092636926929,161.99788648595379,166.73151998564686,428.13081160212994,214.76010834501102,190.50141918210852,192.25018982463186,193.5065736159417,,,202.67401368954648,208.45224408830634,225.45735684320385
30,2002-01-24 21:48:42+00:00,185.55775753150465,180.88339025205622,178.3032491005508,420.7164666123975,215.23064187454037,206.00983628928796,214.3680534300667,209.29005487518555,206.62976997699104,,,224.13597002752414,230.57717358935193
31,2002-01-31 21:54:50+00:00,,,,,192.36383324131276,181.67601061882996,176.68983619209874,,168.08365175355553,176.99078759125604,,201.94599434893738,203.54663181155806
32,2002-02-25 21:48:47+00:00,182.29951529280038,184.41822600275702,181.6873271588938,425.6224542886494,205.46182325530944,191.33867206956995,200.83326526281252,192.99357998315435,,,212.3874621981783,225.5215373321609,219.71128385095633
33,2002-03-20 21:54:48+00:00,184.2253990816969,170.7337995952666,171.32523618232787,476.6555379294843,,195.03487603113476,199.96625124508824,198.25787751849649,,205.59685319639044,,,
34,2002-04-05 21:54:49+00:00,160.12748415221068,166.4989125647018,166.71569071682578,,199.24098763728017,189.38905415212733,196.95962529472038,186.26571779670834,180.76524650117906,,195.78118466300774,218.91485049203507,
35,2002-06-01 21:48:28+00:00,168.23517832748067,183.58129313826151,186.8146177324453,466.9538111593042,209.77143866956462,205.47517688235007,,,,,200.18595415588075,217.39036147400648,211.87540957424343
36,2002-06-24 21:54:28+00:00,164.18377593938132,185.77468448153746,184.85590795855128,439.43787809900886,,198.54361019079212,,,184.69016983332338,193.95216596590086,216.16762014799312,,248.5084338392152
37,2002-07-19 21:48:09+00:00,,,190.03715594930262,403.3492389982749,206.86771589531796,205.3690161537689,215.19412567606997,201.83108824778913,201.35252957519768,214.50019967048746,,224.323909486369,213.76377472273026
38,2002-08-20 21:47:58+00:00,,,,,,,,,201.83948510376425,205.11093108254028,,221.6343411365292,216.54881871070071
39,2002-08-27 21:54:00+00:00,189.2920475995385,197.23696242990266,200.9489594170287,490.99401634903626,227.22376725205845,208.19440853038782,219.89327254695536,213.15794765674542,211.88679835684434,,226.04815284712703,235.30981157057948,234.62615712068
40,2002-10-07 21:47:33+00:00,188.90853943678152,184.87296228017448,180.48069524985408,477.7468678616642,214.95246836751255,198.36400207179278,196.41009329670476,184.17244336964418,,,214.81335580416442,220.8935701260504,217.5094213672686
41,2002-10-14 21:53:43+00:00,191.65952503068476,187.00602166782582,173.91533884226544,430.2294995490514,219.49692176982788,201.73611669747038,210.0658969865663,195.9586374572968,184.71299261065107,,213.8513761467194,227.15342212301226,215.14118241506378
42,2002-10-23 21:47:39+00:00,196.615426493966,189.63758556516052,180.96668851189702,490.6597191987222,,205.98308501649146,206.7310967111971,198.92124891306136,192.4265281752011,,218.1780235708481,225.7745041993769,221.0193490804374
43,2002-10-30 21:53:49+00:00,,,189.68725156170973,431.08242672711964,232.09564741902386,211.18928531989073,,,,,,230.95942235766762,228.27883883696316
44,2002-11-15 21:54:00+00:00,175.90788160570565,175.9347527882576,167.5606038955677,,218.0839775317444,197.65064245662197,202.07086651813285,191.2274990971221,178.3451823141814,,205.93402339840873,218.43388925489683,213.70179126730082
45,2002-12-01 21:54:16+00:00,139.06658456524752,145.11383727752354,144.52817423845428,,,171.7121872780272,176.22648691782993,153.54632847973784,143.01336174199804,166.77741201415412,186.02051448116214,198.49696829524953,179.96910367746443
46,2003-01-02 21:54:22+00:00,191.73456984046604,180.5323223708376,185.14084049068012,,229.66014830823423,197.77414471414667,197.746001434371,175.02150936550274,,,195.0769411888091,208.31119065701154,205.84802042200653
47,2003-01-18 21:54:30+00:00,196.95983683847234,188.46310203619973,198.27198163533765,467.8555618269421,225.68712543630858,207.52286488531462,205.48263968898564,199.4878745096129,207.08969439622734,217.54589799957478,215.48620396736726,223.05595980818,217.28126930318456
48,2003-03-23 21:54:40+00:00,,172.89203029853923,185.15614650923007,,225.90519102786095,192.379485145437,187.9432173440341,182.34708661012968,,206.3717439179092,196.68129577575516,203.3972289831021,
49,2003-04-01 21:48:34+00:00,158.9915203632915,154.70179043911693,169.10566710529483,,210.82200578902064,182.2471124453291,169.55840126717757,166.48211447688053,,199.37906827079615,190.62551458156722,191.6691667194946,
50,2003-04-24 21:54:46+00:00,156.4502021589186,159.12743930141653,172.83988556569645,429.15322274221506,218.92947282383375,196.03621416186786,191.03324736798183,,,190.99244663798765,174.4256050390107,197.35540201874838,195.24107161206294
51,2003-05-03 21:48:37+00:00,155.42218189903127,157.95667047094207,165.9843744805467,475.85486450969694,215.52566756968767,198.91049295656035,195.14592561292085,175.6844602086789,178.68489482490364,,167.70395994690978,,187.37278327982114
52,2003-05-10 21:54:46+00:00,156.21696210444034,158.265483984861,175.22575099945476,429.59850833346763,238.03084637870626,214.12594861997306,196.0943375932512,191.09179017017215,,,194.45214159094047,207.43947581380013,208.2078344823723
53,2003-05-26 21:54:43+00:00,140.48740440717978,148.39224052459787,164.7320089633981,410.5138827285173,235.434560247738,205.09771355118107,192.27100351253821,,194.88531243921358,,198.34852839468027,210.03182618568005,204.7810962090132
54,2003-07-21 21:42:33+00:00,149.16149050380926,155.29382362736956,162.32024730389273,,225.95596083804952,208.29028256972856,200.91865001971757,192.2798623920607,,,219.75266199384575,222.99112645052034,215.8182031788066
