,dates,nzd0266-0000,nzd0266-0001,nzd0266-0002,nzd0266-0003,nzd0266-0004,nzd0266-0005,nzd0266-0006,nzd0266-0007,nzd0266-0008,nzd0266-0009,nzd0266-0010,nzd0266-0011,nzd0266-0012,nzd0266-0013,nzd0266-0014,nzd0266-0015,nzd0266-0016,nzd0266-0017,nzd0266-0018,nzd0266-0019,nzd0266-0020,nzd0266-0021,nzd0266-0022,nzd0266-0023,nzd0266-0024,nzd0266-0025,nzd0266-0026,nzd0266-0027,nzd0266-0028,nzd0266-0029,nzd0266-0030
0,1999-12-25 21:59:16+00:00,176.56915585512056,178.94929933090918,185.77373226916401,,195.82128467887895,197.00884788623208,191.64680140814403,,,198.27642261499395,200.65647430439114,178.2153177313818,167.3947584078103,160.36401741570518,,170.82699302856565,181.31899284603148,,,,199.234206002166,190.56668999890212,199.220710579144,203.3643081747101,,193.04661334394135,202.84731355361788,197.31894731308336,,193.41927633058225,198.2264267670526
1,2000-01-10 21:59:16+00:00,185.93829509936836,,,,197.70524501172096,196.5105362071785,194.85436544905093,,,204.38317892377697,210.63425495596334,198.05416948636028,191.6503117419054,195.51862826786922,,204.13116491380984,200.5353478185454,,211.33996153629926,,214.3393610374566,204.40347065463652,208.28723797269404,221.363059438913,,214.18492687115875,218.34498058550537,209.19899385628213,,,207.78658315334766
2,2000-01-26 21:59:14+00:00,,,,188.30335150456875,201.10203200385604,210.27965488983193,,,215.3532210452612,212.5897168667517,211.3777968157466,202.7954910446415,194.66206541215712,213.7553964346127,233.5043308782096,196.4639543931004,203.75933820478946,,,255.50569363057718,225.5646207089573,215.70711943483803,,,209.88522718844558,199.8525949144959,222.9202292266076,211.61815452995836,204.95606316685735,,245.03407865393643
3,2000-03-14 21:58:59+00:00,,,,167.9243580333619,188.7117939637293,194.19465311220458,189.0700932487868,,,216.9225434328282,208.51028161317313,200.39585802279967,,,215.12978336567366,216.31719515829008,214.53352118442592,,,212.93840908979118,206.7108491796349,210.2085296002929,,215.68278770723612,227.24473949954546,205.06606715187385,217.8237168472779,223.4654613750535,,,202.43001741765804
4,2000-03-30 21:58:57+00:00,177.59372586987763,,,183.93024993810158,194.2203687158306,199.5667946693466,191.09680660436211,,,207.9866759243772,200.48052875472524,207.4822890567937,199.6027465392003,,206.2656299355579,200.78467726930938,207.60251481266698,,,215.4653473589371,213.12662355584357,202.71792478442845,202.13443351923644,,,196.4540820357967,199.04302545045607,197.65970094321472,,196.3142715558268,202.14268129024865
5,2000-07-04 21:58:02+00:00,,177.07223381431214,179.5163042346502,180.14313335437473,189.94738777131175,,,,,,,200.60025935295363,,,,,,,,,,,,,,,,,,,
6,2000-08-05 21:57:32+00:00,,173.47137173345664,172.8767445259982,167.18621610157388,182.4156851947902,184.03271504391526,,,,,,195.28775440310798,,,178.59204210179504,177.7768044334955,186.06965961872146,,,,201.55175517352214,201.69134944602627,,,,,,,,,
7,2000-08-21 21:57:26+00:00,184.11888709863655,173.27900929503548,171.25334293711606,171.45477662164453,192.15545841960366,197.14216478987373,186.28340838744873,,,,191.00762264593382,188.65943810955676,,173.12581065078416,174.34305918155218,149.56513993902075,175.30180861348128,180.64513514591928,168.71579942737415,194.6769628923901,196.0402027125623,163.90813048527826,171.12030744946048,,220.45138639924158,197.79293121191395,199.7424143568365,212.26864787658,202.22286504867554,,214.24995273814488
8,2000-09-22 21:56:53+00:00,,,,,175.98832852218547,179.24877305692928,170.65554364944438,182.9512101694952,188.68353257303227,184.03302910674213,190.37011566727992,176.0683200620639,160.72759953860316,,133.4798896450436,,,187.9515097859782,163.86945373384978,174.2618043517012,182.17422186205837,187.76227590610515,189.23985530732418,192.31736284114083,,185.39256359862563,182.2500030782511,194.3764010536857,,,181.40342682914408
9,2000-11-09 21:56:45+00:00,,199.32966620919916,,,202.2565490518046,204.79498782801207,195.6864818894823,209.11226006418576,,204.43196406764818,216.10897028481213,194.8976007551774,,,194.31386496918316,189.80345492126742,198.0518048234635,187.7438323828966,,,208.3411865552302,208.85633386494118,207.71181319062958,207.32672271220915,,206.8692176600244,219.93871664970754,209.0195083284727,,,214.41292019607508
10,2000-11-25 21:56:47+00:00,,170.2176409754644,179.10962129816508,,,193.6615496555029,174.09728501890578,185.5970255713995,,,198.8961488813336,176.0438313927667,169.5098106354493,,,180.13947561043597,184.53178511952743,163.09349852366992,,,192.1828766052047,191.5411175412246,189.07161343149028,,,,194.85307738154893,196.56589719353465,,,198.269418332466
11,2001-03-17 21:56:40+00:00,196.0360455447529,,176.81129730882085,183.532596925814,204.01863637279584,,,,,208.75452787491648,205.13979606923456,,,,200.13053165604552,,,,,229.90426114403158,,,,,246.80232722526355,212.16236640329993,,,,206.55551623788068,218.94846837321302
12,2001-06-05 21:56:04+00:00,,179.59030033883246,175.78662503563865,,,192.8605318780144,174.31771954281058,177.56289525270773,,,192.18802423111956,190.88871748545418,167.1919018936804,,,161.0886783420618,165.19514418124078,164.68167879443618,167.8004507940596,,183.7390680713496,164.49124881066564,169.72886179578077,183.3985646486063,,,177.13551299168205,194.14384090110823,,,
13,2001-09-09 21:55:00+00:00,,,,144.73124926189277,173.7930941517515,184.03301073896932,,,,234.3532002500163,,,,,,,,,,,,,,,,,274.33550402451175,,,231.78359870351807,225.19747079088125
14,2001-09-25 21:54:52+00:00,215.23118041662318,,208.14887727163557,208.24584820506095,,,,,229.3616283471818,236.05267940693926,237.84983429035861,225.74042128224227,,,223.8461339314501,227.8044522114983,238.828076661134,,,246.40629448429902,,,,,261.54484893603427,234.5025260675162,246.66823935320005,,223.77771227783288,,247.33967312884303
15,2002-02-16 21:55:18+00:00,203.48931042573375,,206.155353583536,218.50061894812904,221.53002823833546,,,,229.68493981230725,227.8782042280987,215.98789064390147,210.90971955849278,,,225.8706382369545,214.7084537235077,223.9170527187931,,,234.88770864727883,,,,,,216.4869267434406,222.7852372374202,211.95908361272072,,,213.8039578367249
16,2002-03-04 21:55:22+00:00,,153.95554220673404,150.35932231944923,,171.28142941827866,184.4087528020686,164.8113243645014,,174.97592833528236,,192.04841187157606,160.93793819740412,135.58668684010902,175.86344337336584,,,182.56449236835724,155.528447940386,,,145.96789350164465,142.7255341701133,161.5594074788694,155.66114443749814,,,,163.06590094029121,,147.11456331766078,
17,2002-08-27 21:54:24+00:00,,188.44219577984268,,,196.79100524763254,198.62113529533693,,198.3307233699911,,,,184.50191869251665,168.497795547643,169.98708676204248,,179.87170337575043,189.05390617640086,193.47634546271937,,,204.2255634444567,,,,,184.93140673861646,,201.044854582689,,,
18,2002-10-14 21:54:07+00:00,212.89474627057626,,,217.07792530197239,,218.26725702070178,,225.10265540214724,,231.59132498718478,232.37398337869442,,,213.54545300543379,212.31991380490317,,,,,242.3147697742423,227.80313920912783,,,,262.805260181983,,239.18408419812107,,,,237.9196290982158
19,2002-12-01 21:54:40+00:00,186.2778302595727,,,195.4667691798083,199.35817498146466,207.23024235285106,198.94219994616196,205.15117071442833,,213.7652164834955,214.13860499224992,199.86006855310436,,193.6203790534622,198.09545458078765,199.08576334684892,197.424287600196,194.11827718900514,,,,200.0211082527219,202.69754252095552,,,198.60098008793483,214.01788297581805,204.0694069884133,,,201.78423027006562
